s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.800E+001, 1.801E+001, 5.468E-003, 8.616E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 1.860E+001, 1.807E+001, 1.814E+001, 1.409E+000, 4.624E-001, 1.811E+001, 1.820E+001, 1.895E+001, 0.000E+000
 3.002E+001, 3.124E+001, 2.262E+001, 2.094E+001, 2.454E+000, 2.050E+000, 1.915E+001, 1.998E+001, 2.662E+001, 0.000E+000
 4.000E+001, 5.207E+001, 3.827E+001, 3.503E+001, 3.712E+000, 2.995E+000, 2.197E+001, 2.472E+001, 4.383E+001, 0.000E+000
 5.000E+001, 6.977E+001, 5.692E+001, 5.564E+001, 5.129E+000, 3.631E+000, 2.746E+001, 3.376E+001, 7.176E+001, 0.000E+000
 6.000E+001, 8.445E+001, 6.813E+001, 7.185E+001, 5.853E+000, 4.263E+000, 3.621E+001, 4.781E+001, 1.077E+002, 2.000E+000
 7.001E+001, 1.106E+002, 8.766E+001, 7.826E+001, 6.557E+000, 4.664E+000, 4.818E+001, 6.647E+001, 1.476E+002, 2.000E+000
 8.000E+001, 1.273E+002, 1.100E+002, 6.565E+001, 4.579E+000, 4.058E+000, 5.747E+001, 7.997E+001, 1.599E+002, 4.000E+000
 9.001E+001, 1.437E+002, 1.182E+002, 7.489E+001, 6.739E+000, 4.782E+000, 6.829E+001, 9.536E+001, 1.793E+002, 6.000E+000
 1.000E+002, 1.389E+002, 1.167E+002, 6.846E+001, 6.829E+000, 3.906E+000, 7.995E+001, 1.111E+002, 1.921E+002, 8.000E+000
 1.100E+002, 1.206E+002, 1.064E+002, 6.587E+001, 5.645E+000, 3.773E+000, 8.726E+001, 1.192E+002, 1.783E+002, 9.000E+000
 1.200E+002, 9.812E+001, 9.145E+001, 4.621E+001, 5.589E+000, 3.097E+000, 9.069E+001, 1.207E+002, 1.532E+002, 1.000E+001
 1.300E+002, 9.853E+001, 8.449E+001, 3.860E+001, 5.278E+000, 3.830E+000, 9.307E+001, 1.208E+002, 1.365E+002, 1.000E+001
 1.400E+002, 8.050E+001, 7.989E+001, 4.508E+001, 4.563E+000, 3.092E+000, 9.409E+001, 1.192E+002, 1.220E+002, 1.100E+001
 1.500E+002, 8.035E+001, 7.333E+001, 3.540E+001, 5.438E+000, 3.248E+000, 9.627E+001, 1.196E+002, 1.230E+002, 1.200E+001
 1.600E+002, 8.811E+001, 7.279E+001, 3.259E+001, 6.266E+000, 4.192E+000, 9.943E+001, 1.218E+002, 1.303E+002, 1.300E+001
 1.700E+002, 1.099E+002, 8.277E+001, 3.866E+001, 6.681E+000, 4.775E+000, 1.042E+002, 1.269E+002, 1.455E+002, 1.300E+001
 1.800E+002, 1.389E+002, 1.059E+002, 6.137E+001, 7.104E+000, 5.283E+000, 1.108E+002, 1.345E+002, 1.640E+002, 1.400E+001
 1.900E+002, 1.330E+002, 1.089E+002, 6.771E+001, 7.253E+000, 5.249E+000, 1.155E+002, 1.391E+002, 1.654E+002, 1.500E+001
 2.000E+002, 1.333E+002, 1.063E+002, 6.728E+001, 6.851E+000, 4.962E+000, 1.200E+002, 1.429E+002, 1.632E+002, 1.500E+001
 2.100E+002, 1.151E+002, 9.507E+001, 4.728E+001, 6.110E+000, 4.682E+000, 1.217E+002, 1.427E+002, 1.519E+002, 1.500E+001
 2.200E+002, 1.315E+002, 9.777E+001, 6.160E+001, 7.048E+000, 5.236E+000, 1.257E+002, 1.465E+002, 1.622E+002, 1.500E+001
 2.300E+002, 1.319E+002, 1.029E+002, 6.604E+001, 7.384E+000, 5.123E+000, 1.316E+002, 1.533E+002, 1.781E+002, 1.500E+001
 2.400E+002, 1.328E+002, 1.039E+002, 7.133E+001, 6.558E+000, 4.904E+000, 1.344E+002, 1.550E+002, 1.706E+002, 1.500E+001
 2.500E+002, 1.357E+002, 1.059E+002, 6.892E+001, 6.712E+000, 4.977E+000, 1.373E+002, 1.568E+002, 1.694E+002, 1.500E+001
 2.600E+002, 1.230E+002, 9.713E+001, 6.629E+001, 7.178E+000, 4.557E+000, 1.410E+002, 1.602E+002, 1.749E+002, 1.600E+001
 2.700E+002, 1.263E+002, 9.916E+001, 6.698E+001, 7.673E+000, 4.276E+000, 1.444E+002, 1.631E+002, 1.784E+002, 1.800E+001
 2.800E+002, 1.253E+002, 9.577E+001, 6.539E+001, 7.315E+000, 4.663E+000, 1.480E+002, 1.663E+002, 1.811E+002, 1.800E+001
 2.900E+002, 1.239E+002, 9.567E+001, 5.485E+001, 6.101E+000, 4.381E+000, 1.504E+002, 1.677E+002, 1.776E+002, 1.900E+001
 3.000E+002, 1.093E+002, 8.863E+001, 5.065E+001, 5.343E+000, 4.065E+000, 1.511E+002, 1.666E+002, 1.680E+002, 1.900E+001
 3.100E+002, 1.015E+002, 8.107E+001, 6.093E+001, 5.881E+000, 4.299E+000, 1.510E+002, 1.643E+002, 1.580E+002, 1.900E+001
 3.200E+002, 1.109E+002, 8.284E+001, 5.033E+001, 6.239E+000, 4.493E+000, 1.520E+002, 1.643E+002, 1.623E+002, 1.900E+001
