s,C,C,C,m/s,m/s,C,C,C,
 3.300E+002, 1.163E+002, 8.770E+001, 5.905E+001, 7.092E+000, 4.447E+000, 1.537E+002, 1.653E+002, 1.671E+002, 1.900E+001
 3.400E+002, 1.227E+002, 9.327E+001, 5.888E+001, 6.541E+000, 4.874E+000, 1.567E+002, 1.687E+002, 1.796E+002, 1.900E+001
 3.500E+002, 1.040E+002, 8.086E+001, 5.083E+001, 6.597E+000, 4.324E+000, 1.582E+002, 1.697E+002, 1.766E+002, 1.900E+001
 3.600E+002, 1.218E+002, 9.281E+001, 5.856E+001, 6.873E+000, 4.691E+000, 1.597E+002, 1.704E+002, 1.764E+002, 1.900E+001
 3.700E+002, 1.062E+002, 8.187E+001, 5.691E+001, 6.855E+000, 4.598E+000, 1.614E+002, 1.719E+002, 1.783E+002, 1.900E+001
 3.800E+002, 1.276E+002, 9.522E+001, 5.695E+001, 6.806E+000, 4.937E+000, 1.630E+002, 1.731E+002, 1.797E+002, 1.900E+001
 3.900E+002, 1.256E+002, 9.746E+001, 6.211E+001, 5.676E+000, 4.654E+000, 1.647E+002, 1.744E+002, 1.799E+002, 1.900E+001
 4.000E+002, 1.126E+002, 8.751E+001, 6.164E+001, 5.550E+000, 4.713E+000, 1.633E+002, 1.708E+002, 1.633E+002, 1.900E+001
 4.100E+002, 9.921E+001, 7.835E+001, 7.016E+001, 5.946E+000, 3.975E+000, 1.621E+002, 1.677E+002, 1.542E+002, 1.900E+001
 4.200E+002, 1.025E+002, 7.580E+001, 4.224E+001, 5.994E+000, 4.047E+000, 1.598E+002, 1.631E+002, 1.444E+002, 1.900E+001
 4.300E+002, 1.175E+002, 8.816E+001, 5.540E+001, 6.646E+000, 4.852E+000, 1.601E+002, 1.631E+002, 1.552E+002, 1.900E+001
 4.400E+002, 1.123E+002, 9.039E+001, 7.099E+001, 6.751E+000, 4.370E+000, 1.615E+002, 1.651E+002, 1.669E+002, 1.900E+001
 4.500E+002, 1.246E+002, 9.352E+001, 5.739E+001, 7.839E+000, 4.568E+000, 1.632E+002, 1.675E+002, 1.760E+002, 1.900E+001
 4.600E+002, 1.184E+002, 9.173E+001, 6.204E+001, 7.848E+000, 4.656E+000, 1.670E+002, 1.732E+002, 1.917E+002, 1.900E+001
 4.700E+002, 1.385E+002, 1.033E+002, 6.407E+001, 6.515E+000, 5.382E+000, 1.675E+002, 1.731E+002, 1.798E+002, 1.900E+001
 4.800E+002, 1.237E+002, 9.809E+001, 5.899E+001, 5.766E+000, 4.341E+000, 1.670E+002, 1.714E+002, 1.698E+002, 1.900E+001
 4.900E+002, 1.189E+002, 9.204E+001, 5.535E+001, 5.806E+000, 4.366E+000, 1.659E+002, 1.690E+002, 1.612E+002, 1.900E+001
 5.000E+002, 1.213E+002, 8.801E+001, 5.976E+001, 5.831E+000, 5.109E+000, 1.651E+002, 1.671E+002, 1.578E+002, 1.900E+001
 5.100E+002, 1.395E+002, 1.026E+002, 6.226E+001, 5.791E+000, 5.545E+000, 1.641E+002, 1.652E+002, 1.552E+002, 1.900E+001
 5.200E+002, 1.324E+002, 9.732E+001, 6.582E+001, 7.534E+000, 4.791E+000, 1.648E+002, 1.664E+002, 1.663E+002, 1.900E+001
 5.300E+002, 1.194E+002, 9.035E+001, 6.820E+001, 7.880E+000, 4.875E+000, 1.685E+002, 1.722E+002, 1.879E+002, 1.900E+001
 5.400E+002, 1.223E+002, 8.503E+001, 5.359E+001, 6.231E+000, 5.100E+000, 1.686E+002, 1.720E+002, 1.770E+002, 1.900E+001
 5.500E+002, 1.174E+002, 8.863E+001, 7.084E+001, 6.395E+000, 4.638E+000, 1.683E+002, 1.709E+002, 1.707E+002, 1.900E+001
 5.600E+002, 1.247E+002, 8.996E+001, 6.416E+001, 6.780E+000, 4.954E+000, 1.699E+002, 1.732E+002, 1.796E+002, 1.900E+001
 5.700E+002, 1.189E+002, 8.860E+001, 5.524E+001, 6.632E+000, 4.426E+000, 1.696E+002, 1.722E+002, 1.717E+002, 1.900E+001
 5.800E+002, 1.228E+002, 9.663E+001, 6.395E+001, 6.421E+000, 4.875E+000, 1.695E+002, 1.717E+002, 1.704E+002, 1.900E+001
 5.900E+002, 1.079E+002, 8.209E+001, 6.172E+001, 7.332E+000, 4.204E+000, 1.700E+002, 1.722E+002, 1.734E+002, 1.900E+001
 6.000E+002, 1.270E+002, 9.404E+001, 6.589E+001, 6.842E+000, 5.082E+000, 1.704E+002, 1.726E+002, 1.733E+002, 1.900E+001
