s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.003E+001, 1.800E+001, 1.800E+001, 1.801E+001, 3.356E-003, 8.263E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 1.807E+001, 1.801E+001, 2.154E+001, 4.065E-001, 1.101E-002, 1.801E+001, 1.802E+001, 1.808E+001, 0.000E+000
 3.001E+001, 1.952E+001, 1.806E+001, 4.369E+001, 1.029E+000, 5.907E-001, 1.816E+001, 1.828E+001, 1.929E+001, 0.000E+000
 4.002E+001, 2.536E+001, 1.941E+001, 7.188E+001, 1.546E+000, 1.106E+000, 1.855E+001, 1.894E+001, 2.199E+001, 0.000E+000
 5.000E+001, 3.732E+001, 2.853E+001, 9.522E+001, 2.759E+000, 1.770E+000, 1.962E+001, 2.075E+001, 2.881E+001, 0.000E+000
 6.000E+001, 5.307E+001, 4.383E+001, 1.368E+002, 3.637E+000, 2.505E+000, 2.201E+001, 2.472E+001, 4.209E+001, 1.000E+000
 7.000E+001, 7.236E+001, 5.895E+001, 1.487E+002, 4.491E+000, 3.180E+000, 2.608E+001, 3.137E+001, 6.128E+001, 3.000E+000
 8.000E+001, 7.294E+001, 6.414E+001, 1.321E+002, 3.499E+000, 2.874E+000, 3.030E+001, 3.794E+001, 7.346E+001, 4.000E+000
 9.001E+001, 6.543E+001, 5.793E+001, 1.140E+002, 2.300E+000, 1.969E+000, 3.273E+001, 4.134E+001, 7.292E+001, 6.000E+000
 1.000E+002, 6.621E+001, 5.308E+001, 1.450E+002, 3.829E+000, 2.549E+000, 3.497E+001, 4.439E+001, 7.390E+001, 7.000E+000
 1.100E+002, 9.271E+001, 7.748E+001, 1.285E+002, 4.809E+000, 2.964E+000, 4.062E+001, 5.283E+001, 9.294E+001, 9.000E+000
 1.200E+002, 7.562E+001, 6.491E+001, 1.185E+002, 3.230E+000, 1.676E+000, 4.389E+001, 5.707E+001, 9.181E+001, 1.000E+001
 1.300E+002, 8.069E+001, 6.913E+001, 1.439E+002, 3.520E+000, 1.832E+000, 4.689E+001, 6.083E+001, 9.272E+001, 1.100E+001
 1.400E+002, 8.128E+001, 7.413E+001, 1.381E+002, 3.341E+000, 1.236E+000, 4.990E+001, 6.450E+001, 9.365E+001, 1.200E+001
 1.500E+002, 7.290E+001, 7.112E+001, 1.169E+002, 1.554E+000, 5.650E-001, 5.146E+001, 6.599E+001, 8.953E+001, 1.300E+001
 1.600E+002, 8.638E+001, 7.161E+001, 1.597E+002, 5.696E+000, 2.665E+000, 5.458E+001, 6.984E+001, 9.608E+001, 1.300E+001
 1.700E+002, 1.016E+002, 8.954E+001, 1.310E+002, 5.051E+000, 2.635E+000, 5.982E+001, 7.668E+001, 1.086E+002, 1.300E+001
 1.800E+002, 9.319E+001, 8.299E+001, 1.415E+002, 6.077E+000, 2.898E+000, 6.417E+001, 8.185E+001, 1.130E+002, 1.500E+001
 1.900E+002, 9.166E+001, 8.516E+001, 1.646E+002, 2.865E+000, 1.190E+000, 6.823E+001, 8.654E+001, 1.152E+002, 1.600E+001
 2.000E+002, 8.506E+001, 7.914E+001, 1.240E+002, 5.238E+000, 1.505E+000, 7.021E+001, 8.815E+001, 1.106E+002, 1.700E+001
 2.100E+002, 8.665E+001, 8.131E+001, 9.525E+001, 5.443E+000, 2.767E+000, 7.311E+001, 9.062E+001, 1.076E+002, 1.700E+001
 2.200E+002, 7.079E+001, 7.550E+001, 1.320E+002, 2.108E+000, 9.129E-001, 7.300E+001, 8.849E+001, 9.043E+001, 1.700E+001
 2.300E+002, 6.940E+001, 6.923E+001, 1.208E+002, 4.252E+000, 1.257E+000, 7.300E+001, 8.712E+001, 8.433E+001, 1.800E+001
 2.400E+002, 7.398E+001, 7.396E+001, 1.155E+002, 5.239E+000, 2.134E+000, 7.430E+001, 8.749E+001, 8.684E+001, 2.000E+001
 2.500E+002, 6.608E+001, 6.957E+001, 1.253E+002, 3.672E+000, 1.201E+000, 7.418E+001, 8.570E+001, 7.963E+001, 2.000E+001
 2.600E+002, 6.672E+001, 6.709E+001, 1.336E+002, 4.220E+000, 9.945E-001, 7.361E+001, 8.346E+001, 7.336E+001, 2.000E+001
 2.700E+002, 7.212E+001, 6.863E+001, 1.405E+002, 5.990E+000, 2.601E+000, 7.425E+001, 8.331E+001, 7.821E+001, 2.000E+001
 2.800E+002, 8.009E+001, 7.436E+001, 1.279E+002, 5.582E+000, 2.630E+000, 7.607E+001, 8.513E+001, 8.783E+001, 2.000E+001
 2.900E+002, 7.757E+001, 7.331E+001, 1.178E+002, 5.435E+000, 2.267E+000, 7.622E+001, 8.419E+001, 8.265E+001, 2.000E+001
 3.000E+002, 8.096E+001, 7.617E+001, 1.327E+002, 6.342E+000, 3.421E+000, 7.817E+001, 8.642E+001, 9.264E+001, 2.000E+001
 3.100E+002, 7.646E+001, 7.077E+001, 1.377E+002, 6.594E+000, 3.174E+000, 8.017E+001, 8.867E+001, 9.819E+001, 2.100E+001
 3.200E+002, 7.853E+001, 7.415E+001, 1.300E+002, 6.136E+000, 3.294E+000, 8.276E+001, 9.180E+001, 1.042E+002, 2.200E+001
