s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 3.800E+002, 1.752E+002, 4.939E+002, 4.429E+001, 1.921E+000, 6.653E+000, 9.248E+001, 1.045E+002, 1.073E+002, 3.400E+001
 3.900E+002, 1.739E+002, 5.024E+002, 4.691E+001, 2.097E+000, 6.518E+000, 9.338E+001, 1.051E+002, 1.086E+002, 3.400E+001
 4.000E+002, 1.720E+002, 5.158E+002, 4.866E+001, 1.925E+000, 6.328E+000, 9.417E+001, 1.055E+002, 1.091E+002, 3.400E+001
 4.100E+002, 1.539E+002, 4.721E+002, 4.443E+001, 1.303E+000, 5.717E+000, 9.455E+001, 1.053E+002, 1.070E+002, 3.400E+001
 4.200E+002, 1.471E+002, 4.454E+002, 4.329E+001, 1.421E+000, 5.898E+000, 9.445E+001, 1.044E+002, 1.027E+002, 3.400E+001
 4.300E+002, 1.424E+002, 4.844E+002, 4.068E+001, 1.512E+000, 5.899E+000, 9.411E+001, 1.032E+002, 9.751E+001, 3.400E+001
 4.400E+002, 1.463E+002, 4.591E+002, 4.220E+001, 1.722E+000, 6.319E+000, 9.385E+001, 1.021E+002, 9.453E+001, 3.400E+001
 4.500E+002, 1.723E+002, 5.008E+002, 4.756E+001, 2.364E+000, 7.118E+000, 9.419E+001, 1.020E+002, 9.694E+001, 3.400E+001
 4.600E+002, 1.700E+002, 5.066E+002, 4.440E+001, 1.688E+000, 6.872E+000, 9.468E+001, 1.022E+002, 9.953E+001, 3.400E+001
 4.700E+002, 1.609E+002, 5.059E+002, 4.220E+001, 1.555E+000, 6.356E+000, 9.477E+001, 1.018E+002, 9.859E+001, 3.400E+001
 4.800E+002, 1.573E+002, 5.015E+002, 3.968E+001, 1.334E+000, 6.114E+000, 9.492E+001, 1.016E+002, 9.863E+001, 3.400E+001
 4.900E+002, 1.666E+002, 4.736E+002, 4.239E+001, 2.072E+000, 6.658E+000, 9.502E+001, 1.013E+002, 9.832E+001, 3.400E+001
 5.000E+002, 1.613E+002, 4.698E+002, 4.600E+001, 1.943E+000, 6.382E+000, 9.558E+001, 1.017E+002, 1.012E+002, 3.400E+001
 5.100E+002, 1.576E+002, 4.781E+002, 4.587E+001, 1.595E+000, 6.216E+000, 9.583E+001, 1.017E+002, 1.012E+002, 3.400E+001
 5.200E+002, 1.451E+002, 4.429E+002, 4.303E+001, 1.568E+000, 6.053E+000, 9.583E+001, 1.012E+002, 9.937E+001, 3.400E+001
 5.300E+002, 1.459E+002, 4.702E+002, 4.260E+001, 1.560E+000, 6.280E+000, 9.551E+001, 1.003E+002, 9.583E+001, 3.400E+001
 5.400E+002, 1.652E+002, 4.911E+002, 4.395E+001, 1.919E+000, 6.497E+000, 9.552E+001, 9.997E+001, 9.596E+001, 3.400E+001
 5.500E+002, 1.552E+002, 4.775E+002, 4.541E+001, 1.872E+000, 6.138E+000, 9.577E+001, 1.000E+002, 9.764E+001, 3.400E+001
 5.600E+002, 1.585E+002, 4.989E+002, 4.590E+001, 1.829E+000, 6.310E+000, 9.578E+001, 9.972E+001, 9.703E+001, 3.400E+001
 5.700E+002, 1.532E+002, 4.757E+002, 4.122E+001, 1.589E+000, 6.366E+000, 9.576E+001, 9.942E+001, 9.651E+001, 3.400E+001
 5.800E+002, 1.589E+002, 4.977E+002, 4.044E+001, 2.041E+000, 6.611E+000, 9.585E+001, 9.928E+001, 9.694E+001, 3.400E+001
 5.900E+002, 1.799E+002, 5.127E+002, 4.496E+001, 2.666E+000, 7.094E+000, 9.666E+001, 1.004E+002, 1.026E+002, 3.400E+001
 6.000E+002, 1.694E+002, 4.646E+002, 4.594E+001, 1.999E+000, 6.501E+000, 9.722E+001, 1.010E+002, 1.046E+002, 3.400E+001
