s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.801E+001, 1.800E+001, 1.801E+001, 5.211E-003, 1.075E-002, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 2.043E+001, 1.807E+001, 1.817E+001, 1.809E+000, 8.609E-001, 1.837E+001, 1.865E+001, 2.108E+001, 0.000E+000
 3.001E+001, 3.536E+001, 2.430E+001, 2.013E+001, 4.585E+000, 1.646E+000, 2.250E+001, 2.569E+001, 4.994E+001, 0.000E+000
 4.001E+001, 6.068E+001, 4.555E+001, 2.585E+001, 6.344E+000, 2.388E+000, 3.290E+001, 4.297E+001, 1.064E+002, 0.000E+000
 5.000E+001, 8.442E+001, 6.277E+001, 4.193E+001, 7.622E+000, 3.135E+000, 5.028E+001, 7.095E+001, 1.794E+002, 0.000E+000
 6.001E+001, 1.114E+002, 8.630E+001, 5.145E+001, 8.837E+000, 4.034E+000, 7.719E+001, 1.131E+002, 2.740E+002, 0.000E+000
 7.001E+001, 1.462E+002, 1.099E+002, 5.697E+001, 9.426E+000, 4.680E+000, 1.137E+002, 1.687E+002, 3.821E+002, 1.000E+000
 8.000E+001, 1.828E+002, 1.358E+002, 6.632E+001, 9.822E+000, 4.864E+000, 1.554E+002, 2.292E+002, 4.652E+002, 5.000E+000
 9.001E+001, 1.939E+002, 1.472E+002, 6.007E+001, 8.512E+000, 5.525E+000, 1.835E+002, 2.644E+002, 4.499E+002, 8.000E+000
 1.000E+002, 1.608E+002, 1.284E+002, 4.795E+001, 8.573E+000, 4.529E+000, 2.084E+002, 2.930E+002, 4.419E+002, 1.000E+001
 1.100E+002, 1.748E+002, 1.252E+002, 3.610E+001, 8.018E+000, 6.219E+000, 2.243E+002, 3.065E+002, 4.039E+002, 1.200E+001
 1.200E+002, 1.561E+002, 1.122E+002, 4.354E+001, 8.400E+000, 3.721E+000, 2.387E+002, 3.173E+002, 3.855E+002, 1.300E+001
 1.300E+002, 1.538E+002, 1.087E+002, 3.716E+001, 8.072E+000, 5.327E+000, 2.546E+002, 3.324E+002, 4.052E+002, 1.300E+001
 1.400E+002, 1.878E+002, 1.219E+002, 4.813E+001, 7.226E+000, 7.606E+000, 2.654E+002, 3.383E+002, 3.790E+002, 1.500E+001
 1.500E+002, 1.912E+002, 1.225E+002, 4.936E+001, 7.030E+000, 6.906E+000, 2.686E+002, 3.330E+002, 3.369E+002, 1.500E+001
 1.600E+002, 1.855E+002, 1.180E+002, 4.712E+001, 7.619E+000, 5.671E+000, 2.744E+002, 3.333E+002, 3.374E+002, 1.500E+001
 1.700E+002, 1.724E+002, 1.163E+002, 3.940E+001, 7.634E+000, 6.834E+000, 2.846E+002, 3.413E+002, 3.655E+002, 1.500E+001
 1.800E+002, 1.835E+002, 1.134E+002, 4.590E+001, 8.028E+000, 7.696E+000, 2.935E+002, 3.475E+002, 3.738E+002, 1.600E+001
 1.900E+002, 1.851E+002, 1.156E+002, 5.546E+001, 8.043E+000, 6.848E+000, 2.975E+002, 3.458E+002, 3.514E+002, 1.700E+001
 2.000E+002, 1.903E+002, 1.117E+002, 4.581E+001, 7.986E+000, 6.732E+000, 3.013E+002, 3.446E+002, 3.439E+002, 1.700E+001
 2.100E+002, 1.798E+002, 1.112E+002, 4.659E+001, 8.195E+000, 6.835E+000, 3.086E+002, 3.502E+002, 3.653E+002, 1.700E+001
 2.200E+002, 1.803E+002, 1.079E+002, 5.414E+001, 7.750E+000, 7.561E+000, 3.096E+002, 3.452E+002, 3.363E+002, 1.700E+001
 2.300E+002, 1.918E+002, 1.177E+002, 5.071E+001, 8.514E+000, 7.701E+000, 3.124E+002, 3.444E+002, 3.393E+002, 1.700E+001
 2.400E+002, 1.518E+002, 9.104E+001, 5.266E+001, 7.780E+000, 6.323E+000, 3.170E+002, 3.471E+002, 3.538E+002, 1.700E+001
 2.500E+002, 1.706E+002, 1.034E+002, 4.474E+001, 8.791E+000, 7.495E+000, 3.238E+002, 3.538E+002, 3.748E+002, 1.700E+001
 2.600E+002, 1.782E+002, 1.082E+002, 4.853E+001, 8.036E+000, 7.658E+000, 3.280E+002, 3.561E+002, 3.699E+002, 1.700E+001
 2.700E+002, 1.706E+002, 1.028E+002, 4.709E+001, 8.827E+000, 7.034E+000, 3.337E+002, 3.612E+002, 3.813E+002, 1.700E+001
 2.800E+002, 1.780E+002, 1.027E+002, 4.741E+001, 8.515E+000, 7.584E+000, 3.361E+002, 3.607E+002, 3.648E+002, 1.700E+001
 2.900E+002, 1.707E+002, 1.041E+002, 4.758E+001, 8.297E+000, 7.194E+000, 3.371E+002, 3.585E+002, 3.554E+002, 1.700E+001
 3.000E+002, 1.710E+002, 1.014E+002, 5.345E+001, 8.287E+000, 7.262E+000, 3.395E+002, 3.592E+002, 3.601E+002, 1.700E+001
 3.100E+002, 1.607E+002, 9.634E+001, 5.562E+001, 9.225E+000, 6.621E+000, 3.426E+002, 3.612E+002, 3.690E+002, 1.700E+001
 3.200E+002, 1.565E+002, 9.243E+001, 5.766E+001, 8.989E+000, 6.666E+000, 3.493E+002, 3.692E+002, 3.917E+002, 1.700E+001
