s,C,C,C,m/s,m/s,C,C,C,
 3.300E+002, 1.424E+002, 4.534E+002, 3.852E+001, 1.665E+000, 5.496E+000, 6.645E+001, 7.443E+001, 7.378E+001, 3.100E+001
 3.400E+002, 1.356E+002, 4.717E+002, 3.470E+001, 1.597E+000, 5.787E+000, 6.653E+001, 7.400E+001, 7.203E+001, 3.100E+001
 3.500E+002, 1.520E+002, 4.996E+002, 3.361E+001, 2.051E+000, 6.065E+000, 6.674E+001, 7.379E+001, 7.186E+001, 3.200E+001
 3.600E+002, 1.429E+002, 4.537E+002, 3.491E+001, 1.931E+000, 5.614E+000, 6.708E+001, 7.380E+001, 7.253E+001, 3.200E+001
 3.700E+002, 1.567E+002, 4.879E+002, 3.604E+001, 2.076E+000, 6.395E+000, 6.737E+001, 7.376E+001, 7.287E+001, 3.200E+001
 3.800E+002, 1.574E+002, 5.099E+002, 3.807E+001, 1.664E+000, 6.046E+000, 6.776E+001, 7.392E+001, 7.379E+001, 3.200E+001
 3.900E+002, 1.510E+002, 4.875E+002, 3.831E+001, 2.074E+000, 6.189E+000, 6.809E+001, 7.401E+001, 7.429E+001, 3.200E+001
 4.000E+002, 1.554E+002, 4.887E+002, 3.606E+001, 2.022E+000, 6.580E+000, 6.848E+001, 7.420E+001, 7.497E+001, 3.200E+001
 4.100E+002, 1.529E+002, 4.940E+002, 3.578E+001, 1.928E+000, 6.028E+000, 6.879E+001, 7.425E+001, 7.494E+001, 3.200E+001
 4.200E+002, 1.461E+002, 4.672E+002, 3.480E+001, 1.890E+000, 6.214E+000, 6.901E+001, 7.420E+001, 7.446E+001, 3.200E+001
 4.300E+002, 1.490E+002, 4.672E+002, 3.607E+001, 2.098E+000, 6.415E+000, 6.927E+001, 7.422E+001, 7.449E+001, 3.200E+001
 4.400E+002, 1.435E+002, 4.717E+002, 3.735E+001, 1.925E+000, 6.155E+000, 6.951E+001, 7.425E+001, 7.449E+001, 3.200E+001
 4.500E+002, 1.457E+002, 4.653E+002, 3.725E+001, 2.648E+000, 6.518E+000, 6.987E+001, 7.444E+001, 7.531E+001, 3.200E+001
 4.600E+002, 1.462E+002, 4.848E+002, 3.531E+001, 2.077E+000, 6.371E+000, 7.019E+001, 7.459E+001, 7.554E+001, 3.200E+001
 4.700E+002, 1.479E+002, 4.515E+002, 3.660E+001, 1.935E+000, 6.119E+000, 7.030E+001, 7.442E+001, 7.445E+001, 3.200E+001
 4.800E+002, 1.465E+002, 4.704E+002, 3.515E+001, 1.828E+000, 6.252E+000, 7.035E+001, 7.418E+001, 7.339E+001, 3.200E+001
 4.900E+002, 1.562E+002, 5.086E+002, 3.542E+001, 2.446E+000, 6.722E+000, 7.055E+001, 7.421E+001, 7.385E+001, 3.200E+001
 5.000E+002, 1.537E+002, 5.028E+002, 3.690E+001, 1.876E+000, 6.030E+000, 7.078E+001, 7.429E+001, 7.428E+001, 3.200E+001
 5.100E+002, 1.569E+002, 4.896E+002, 3.924E+001, 2.016E+000, 6.324E+000, 7.096E+001, 7.433E+001, 7.449E+001, 3.200E+001
 5.200E+002, 1.544E+002, 4.745E+002, 4.039E+001, 2.169E+000, 6.412E+000, 7.134E+001, 7.468E+001, 7.597E+001, 3.200E+001
 5.300E+002, 1.494E+002, 4.838E+002, 3.676E+001, 2.160E+000, 6.194E+000, 7.152E+001, 7.472E+001, 7.565E+001, 3.200E+001
 5.400E+002, 1.532E+002, 5.046E+002, 3.722E+001, 2.313E+000, 6.122E+000, 7.187E+001, 7.505E+001, 7.674E+001, 3.200E+001
 5.500E+002, 1.466E+002, 4.803E+002, 3.831E+001, 2.464E+000, 6.444E+000, 7.210E+001, 7.516E+001, 7.660E+001, 3.200E+001
 5.600E+002, 1.484E+002, 4.767E+002, 3.529E+001, 2.239E+000, 6.580E+000, 7.239E+001, 7.539E+001, 7.701E+001, 3.200E+001
 5.700E+002, 1.568E+002, 4.834E+002, 3.572E+001, 1.814E+000, 6.515E+000, 7.262E+001, 7.553E+001, 7.702E+001, 3.200E+001
 5.800E+002, 1.543E+002, 4.910E+002, 3.660E+001, 2.201E+000, 6.354E+000, 7.268E+001, 7.541E+001, 7.601E+001, 3.200E+001
 5.900E+002, 1.482E+002, 4.825E+002, 3.637E+001, 2.208E+000, 6.501E+000, 7.289E+001, 7.554E+001, 7.632E+001, 3.200E+001
 6.000E+002, 1.538E+002, 4.916E+002, 3.654E+001, 2.384E+000, 6.098E+000, 7.324E+001, 7.590E+001, 7.763E+001, 3.200E+001
