s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.006E+001, 1.801E+001, 1.801E+001, 1.800E+001, 4.027E-003, 9.514E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.153E+001, 2.736E+001, 1.801E+001, 2.129E-001, 1.280E+000, 1.800E+001, 1.800E+001, 1.801E+001, 0.000E+000
 3.001E+001, 4.200E+001, 8.297E+001, 1.806E+001, 1.598E+000, 2.877E+000, 1.819E+001, 1.833E+001, 1.954E+001, 0.000E+000
 4.001E+001, 6.482E+001, 1.586E+002, 1.817E+001, 2.233E+000, 3.791E+000, 1.907E+001, 1.983E+001, 2.575E+001, 0.000E+000
 5.000E+001, 9.072E+001, 2.396E+002, 2.519E+001, 2.885E+000, 4.868E+000, 2.079E+001, 2.271E+001, 3.579E+001, 0.000E+000
 6.000E+001, 1.182E+002, 2.803E+002, 3.681E+001, 2.871E+000, 5.403E+000, 2.328E+001, 2.680E+001, 4.765E+001, 2.000E+000
 7.001E+001, 1.505E+002, 3.174E+002, 4.106E+001, 3.556E+000, 6.358E+000, 2.683E+001, 3.253E+001, 6.313E+001, 2.000E+000
 8.000E+001, 1.787E+002, 4.788E+002, 4.882E+001, 3.059E+000, 6.438E+000, 3.144E+001, 3.980E+001, 7.968E+001, 6.000E+000
 9.000E+001, 1.840E+002, 4.725E+002, 5.197E+001, 2.731E+000, 6.636E+000, 3.552E+001, 4.598E+001, 8.964E+001, 8.000E+000
 1.000E+002, 1.748E+002, 4.962E+002, 5.354E+001, 2.407E+000, 7.093E+000, 3.948E+001, 5.180E+001, 9.702E+001, 1.400E+001
 1.100E+002, 1.629E+002, 4.607E+002, 4.458E+001, 2.125E+000, 6.602E+000, 4.250E+001, 5.589E+001, 9.739E+001, 1.700E+001
 1.200E+002, 1.760E+002, 4.182E+002, 4.539E+001, 1.761E+000, 7.375E+000, 4.492E+001, 5.902E+001, 9.699E+001, 1.900E+001
 1.300E+002, 1.970E+002, 4.368E+002, 4.464E+001, 2.392E+000, 7.505E+000, 4.741E+001, 6.212E+001, 9.686E+001, 2.000E+001
 1.400E+002, 1.788E+002, 4.755E+002, 4.083E+001, 2.541E+000, 7.243E+000, 4.976E+001, 6.490E+001, 9.588E+001, 2.000E+001
 1.500E+002, 1.459E+002, 4.555E+002, 4.006E+001, 1.989E+000, 6.307E+000, 5.165E+001, 6.682E+001, 9.247E+001, 2.000E+001
 1.600E+002, 1.651E+002, 4.504E+002, 4.037E+001, 1.635E+000, 5.982E+000, 5.301E+001, 6.799E+001, 8.886E+001, 2.100E+001
 1.700E+002, 1.791E+002, 4.948E+002, 4.435E+001, 1.938E+000, 7.390E+000, 5.427E+001, 6.904E+001, 8.667E+001, 2.200E+001
 1.800E+002, 1.841E+002, 4.807E+002, 4.522E+001, 2.737E+000, 7.407E+000, 5.624E+001, 7.108E+001, 8.866E+001, 2.400E+001
 1.900E+002, 1.675E+002, 4.832E+002, 4.308E+001, 1.742E+000, 6.556E+000, 5.786E+001, 7.259E+001, 8.862E+001, 2.400E+001
 2.000E+002, 1.583E+002, 4.908E+002, 4.455E+001, 1.781E+000, 5.950E+000, 5.908E+001, 7.358E+001, 8.757E+001, 2.700E+001
 2.100E+002, 1.506E+002, 4.824E+002, 4.016E+001, 2.133E+000, 6.103E+000, 6.002E+001, 7.407E+001, 8.503E+001, 2.800E+001
 2.200E+002, 1.480E+002, 4.440E+002, 3.733E+001, 1.813E+000, 5.703E+000, 6.098E+001, 7.456E+001, 8.314E+001, 2.900E+001
 2.300E+002, 1.383E+002, 4.131E+002, 3.513E+001, 1.543E+000, 5.278E+000, 6.149E+001, 7.442E+001, 7.959E+001, 3.100E+001
 2.400E+002, 1.324E+002, 3.468E+002, 3.286E+001, 1.689E+000, 4.779E+000, 6.173E+001, 7.391E+001, 7.572E+001, 3.100E+001
 2.500E+002, 1.507E+002, 4.212E+002, 3.316E+001, 2.177E+000, 6.221E+000, 6.219E+001, 7.370E+001, 7.426E+001, 3.100E+001
 2.600E+002, 1.672E+002, 4.869E+002, 3.726E+001, 2.298E+000, 6.733E+000, 6.306E+001, 7.421E+001, 7.637E+001, 3.100E+001
 2.700E+002, 1.542E+002, 4.969E+002, 4.010E+001, 1.896E+000, 6.116E+000, 6.390E+001, 7.471E+001, 7.764E+001, 3.100E+001
 2.800E+002, 1.488E+002, 4.924E+002, 3.573E+001, 1.897E+000, 5.945E+000, 6.434E+001, 7.461E+001, 7.616E+001, 3.100E+001
 2.900E+002, 1.508E+002, 4.859E+002, 3.368E+001, 2.573E+000, 5.892E+000, 6.475E+001, 7.446E+001, 7.498E+001, 3.100E+001
 3.000E+002, 1.521E+002, 4.874E+002, 3.555E+001, 1.789E+000, 5.867E+000, 6.543E+001, 7.477E+001, 7.615E+001, 3.100E+001
 3.100E+002, 1.492E+002, 4.864E+002, 3.713E+001, 1.989E+000, 5.916E+000, 6.583E+001, 7.474E+001, 7.552E+001, 3.100E+001
 3.200E+002, 1.465E+002, 4.682E+002, 3.509E+001, 1.849E+000, 5.559E+000, 6.622E+001, 7.469E+001, 7.499E+001, 3.100E+001
