s,C,C,C,m/s,m/s,C,C,C,
 3.300E+002, 2.976E+002, 2.159E+002, 3.289E+001, 4.304E+000, 6.759E+000, 1.002E+002, 1.054E+002, 1.002E+002, 2.500E+001
 3.400E+002, 3.681E+002, 2.150E+002, 3.395E+001, 5.018E+000, 7.785E+000, 1.004E+002, 1.050E+002, 1.014E+002, 2.500E+001
 3.500E+002, 3.317E+002, 2.154E+002, 3.516E+001, 4.416E+000, 7.679E+000, 1.005E+002, 1.047E+002, 1.016E+002, 2.600E+001
 3.600E+002, 3.645E+002, 2.241E+002, 3.541E+001, 4.689E+000, 7.777E+000, 1.007E+002, 1.045E+002, 1.024E+002, 2.600E+001
 3.700E+002, 3.543E+002, 2.012E+002, 3.462E+001, 4.701E+000, 7.752E+000, 1.012E+002, 1.049E+002, 1.051E+002, 2.600E+001
 3.800E+002, 3.082E+002, 2.251E+002, 3.359E+001, 4.518E+000, 7.543E+000, 1.018E+002, 1.055E+002, 1.074E+002, 2.600E+001
 3.900E+002, 2.832E+002, 2.074E+002, 3.454E+001, 4.431E+000, 7.583E+000, 1.016E+002, 1.047E+002, 1.031E+002, 2.700E+001
 4.000E+002, 3.367E+002, 2.345E+002, 3.724E+001, 4.565E+000, 7.004E+000, 1.015E+002, 1.041E+002, 1.016E+002, 2.700E+001
 4.100E+002, 3.019E+002, 2.299E+002, 3.542E+001, 4.262E+000, 6.922E+000, 1.013E+002, 1.035E+002, 1.003E+002, 2.700E+001
 4.200E+002, 2.938E+002, 2.271E+002, 3.435E+001, 4.295E+000, 7.356E+000, 1.010E+002, 1.028E+002, 9.889E+001, 2.700E+001
 4.300E+002, 3.133E+002, 2.156E+002, 3.367E+001, 4.562E+000, 7.091E+000, 1.008E+002, 1.021E+002, 9.825E+001, 2.700E+001
 4.400E+002, 3.038E+002, 2.265E+002, 3.622E+001, 4.284E+000, 7.339E+000, 1.007E+002, 1.018E+002, 9.887E+001, 2.700E+001
 4.500E+002, 3.147E+002, 2.210E+002, 3.395E+001, 4.308E+000, 7.168E+000, 1.005E+002, 1.013E+002, 9.809E+001, 2.700E+001
 4.600E+002, 3.202E+002, 2.331E+002, 3.487E+001, 4.106E+000, 7.402E+000, 1.000E+002, 1.005E+002, 9.633E+001, 2.700E+001
 4.700E+002, 3.189E+002, 2.269E+002, 3.510E+001, 4.682E+000, 7.322E+000, 1.000E+002, 1.004E+002, 9.811E+001, 2.700E+001
 4.800E+002, 2.848E+002, 2.148E+002, 3.548E+001, 4.292E+000, 7.111E+000, 1.000E+002, 1.004E+002, 9.908E+001, 2.700E+001
 4.900E+002, 3.183E+002, 2.319E+002, 3.506E+001, 4.375E+000, 7.573E+000, 9.979E+001, 9.992E+001, 9.783E+001, 2.700E+001
 5.000E+002, 2.965E+002, 2.254E+002, 3.703E+001, 4.370E+000, 7.851E+000, 9.961E+001, 9.960E+001, 9.741E+001, 2.700E+001
 5.100E+002, 3.316E+002, 2.317E+002, 3.577E+001, 4.764E+000, 7.724E+000, 9.946E+001, 9.935E+001, 9.758E+001, 2.700E+001
 5.200E+002, 3.355E+002, 2.364E+002, 3.581E+001, 4.513E+000, 7.976E+000, 9.968E+001, 9.974E+001, 1.000E+002, 2.700E+001
 5.300E+002, 2.955E+002, 2.174E+002, 3.510E+001, 4.389E+000, 6.811E+000, 9.936E+001, 9.918E+001, 9.753E+001, 2.700E+001
 5.400E+002, 2.854E+002, 2.263E+002, 3.561E+001, 4.730E+000, 7.815E+000, 9.922E+001, 9.896E+001, 9.745E+001, 2.700E+001
 5.500E+002, 2.859E+002, 2.281E+002, 3.780E+001, 4.117E+000, 6.964E+000, 9.880E+001, 9.827E+001, 9.531E+001, 2.700E+001
 5.600E+002, 2.947E+002, 2.349E+002, 3.603E+001, 4.281E+000, 7.348E+000, 9.855E+001, 9.791E+001, 9.538E+001, 2.700E+001
 5.700E+002, 2.625E+002, 2.215E+002, 3.507E+001, 3.762E+000, 7.420E+000, 9.797E+001, 9.700E+001, 9.262E+001, 2.700E+001
 5.800E+002, 2.858E+002, 2.420E+002, 3.248E+001, 4.402E+000, 7.062E+000, 9.772E+001, 9.668E+001, 9.360E+001, 2.700E+001
 5.900E+002, 2.892E+002, 2.267E+002, 3.427E+001, 3.939E+000, 6.446E+000, 9.733E+001, 9.614E+001, 9.272E+001, 2.700E+001
 6.000E+002, 2.833E+002, 2.353E+002, 3.409E+001, 4.090E+000, 6.602E+000, 9.697E+001, 9.565E+001, 9.240E+001, 2.700E+001
