s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.001E+001, 1.801E+001, 1.801E+001, 1.800E+001, 8.119E-003, 9.145E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.000E+001, 2.757E+001, 2.113E+001, 1.805E+001, 1.017E+000, 8.192E-001, 1.805E+001, 1.808E+001, 1.840E+001, 0.000E+000
 3.001E+001, 8.135E+001, 4.080E+001, 1.820E+001, 2.480E+000, 1.454E+000, 1.870E+001, 1.921E+001, 2.333E+001, 0.000E+000
 4.001E+001, 1.525E+002, 6.488E+001, 1.971E+001, 3.304E+000, 1.873E+000, 2.039E+001, 2.206E+001, 3.379E+001, 0.000E+000
 5.001E+001, 2.420E+002, 8.689E+001, 3.233E+001, 4.216E+000, 1.868E+000, 2.370E+001, 2.753E+001, 5.114E+001, 0.000E+000
 6.001E+001, 3.224E+002, 1.152E+002, 4.072E+001, 4.533E+000, 2.024E+000, 2.844E+001, 3.516E+001, 7.084E+001, 2.000E+000
 7.001E+001, 3.646E+002, 1.379E+002, 4.952E+001, 5.148E+000, 3.328E+000, 3.480E+001, 4.515E+001, 9.333E+001, 2.000E+000
 8.000E+001, 4.959E+002, 1.800E+002, 5.356E+001, 5.202E+000, 3.990E+000, 4.242E+001, 5.674E+001, 1.141E+002, 6.000E+000
 9.000E+001, 4.823E+002, 1.934E+002, 5.086E+001, 4.746E+000, 4.786E+000, 4.927E+001, 6.662E+001, 1.250E+002, 8.000E+000
 1.000E+002, 4.557E+002, 1.946E+002, 4.533E+001, 4.221E+000, 5.384E+000, 5.513E+001, 7.454E+001, 1.287E+002, 1.200E+001
 1.100E+002, 3.734E+002, 1.541E+002, 4.471E+001, 6.811E+000, 6.697E+000, 6.153E+001, 8.288E+001, 1.343E+002, 1.500E+001
 1.200E+002, 3.609E+002, 1.236E+002, 4.772E+001, 6.774E+000, 7.740E+000, 6.988E+001, 9.386E+001, 1.469E+002, 1.900E+001
 1.300E+002, 4.256E+002, 1.546E+002, 4.292E+001, 5.728E+000, 4.379E+000, 7.580E+001, 1.005E+002, 1.430E+002, 1.900E+001
 1.400E+002, 3.618E+002, 2.041E+002, 4.402E+001, 4.717E+000, 6.943E+000, 7.931E+001, 1.033E+002, 1.319E+002, 1.900E+001
 1.500E+002, 3.186E+002, 1.875E+002, 3.968E+001, 4.820E+000, 8.070E+000, 8.146E+001, 1.040E+002, 1.205E+002, 1.900E+001
 1.600E+002, 3.964E+002, 1.943E+002, 3.659E+001, 4.878E+000, 6.502E+000, 8.338E+001, 1.044E+002, 1.144E+002, 1.900E+001
 1.700E+002, 3.932E+002, 2.058E+002, 3.378E+001, 4.998E+000, 6.525E+000, 8.506E+001, 1.046E+002, 1.100E+002, 2.000E+001
 1.800E+002, 4.415E+002, 1.891E+002, 3.845E+001, 5.117E+000, 5.695E+000, 8.713E+001, 1.056E+002, 1.114E+002, 2.000E+001
 1.900E+002, 4.002E+002, 2.067E+002, 3.649E+001, 4.580E+000, 6.563E+000, 8.868E+001, 1.060E+002, 1.097E+002, 2.100E+001
 2.000E+002, 4.201E+002, 1.839E+002, 3.738E+001, 4.615E+000, 5.840E+000, 9.015E+001, 1.063E+002, 1.096E+002, 2.200E+001
 2.100E+002, 4.307E+002, 1.899E+002, 3.726E+001, 4.984E+000, 6.989E+000, 9.218E+001, 1.078E+002, 1.141E+002, 2.200E+001
 2.200E+002, 3.835E+002, 2.090E+002, 3.914E+001, 4.895E+000, 7.990E+000, 9.440E+001, 1.096E+002, 1.174E+002, 2.200E+001
 2.300E+002, 3.956E+002, 2.122E+002, 3.756E+001, 4.990E+000, 7.261E+000, 9.537E+001, 1.093E+002, 1.128E+002, 2.300E+001
 2.400E+002, 3.684E+002, 2.131E+002, 3.732E+001, 4.390E+000, 7.309E+000, 9.647E+001, 1.095E+002, 1.116E+002, 2.300E+001
 2.500E+002, 3.948E+002, 2.093E+002, 3.502E+001, 4.899E+000, 7.144E+000, 9.720E+001, 1.091E+002, 1.091E+002, 2.300E+001
 2.600E+002, 4.019E+002, 2.151E+002, 3.896E+001, 4.841E+000, 6.759E+000, 9.816E+001, 1.093E+002, 1.098E+002, 2.300E+001
 2.700E+002, 3.876E+002, 2.347E+002, 3.787E+001, 4.758E+000, 7.871E+000, 9.937E+001, 1.100E+002, 1.123E+002, 2.400E+001
 2.800E+002, 3.581E+002, 2.043E+002, 3.861E+001, 4.777E+000, 7.350E+000, 9.994E+001, 1.096E+002, 1.095E+002, 2.400E+001
 2.900E+002, 3.872E+002, 1.823E+002, 3.697E+001, 4.726E+000, 7.469E+000, 1.001E+002, 1.087E+002, 1.059E+002, 2.500E+001
 3.000E+002, 3.704E+002, 1.995E+002, 3.936E+001, 4.471E+000, 7.503E+000, 1.004E+002, 1.082E+002, 1.052E+002, 2.500E+001
 3.100E+002, 3.060E+002, 2.386E+002, 3.636E+001, 4.538E+000, 7.391E+000, 1.003E+002, 1.070E+002, 1.019E+002, 2.500E+001
 3.200E+002, 3.244E+002, 2.152E+002, 3.433E+001, 4.021E+000, 7.924E+000, 1.003E+002, 1.063E+002, 1.013E+002, 2.500E+001
