s,C,C,C,m/s,m/s,C,C,C,
 3.300E+002, 3.310E+002, 2.179E+002, 3.869E+001, 4.230E+000, 7.550E+000, 1.335E+002, 1.417E+002, 1.401E+002, 2.500E+001
 3.400E+002, 3.335E+002, 2.280E+002, 3.884E+001, 4.950E+000, 8.059E+000, 1.339E+002, 1.413E+002, 1.392E+002, 2.500E+001
 3.500E+002, 3.086E+002, 2.050E+002, 4.023E+001, 4.474E+000, 7.366E+000, 1.334E+002, 1.395E+002, 1.330E+002, 2.500E+001
 3.600E+002, 3.828E+002, 2.143E+002, 4.252E+001, 4.980E+000, 7.246E+000, 1.332E+002, 1.385E+002, 1.322E+002, 2.500E+001
 3.700E+002, 3.534E+002, 2.294E+002, 4.224E+001, 4.481E+000, 7.711E+000, 1.334E+002, 1.381E+002, 1.337E+002, 2.500E+001
 3.800E+002, 3.037E+002, 2.100E+002, 3.975E+001, 4.757E+000, 6.905E+000, 1.327E+002, 1.364E+002, 1.289E+002, 2.500E+001
 3.900E+002, 3.331E+002, 2.222E+002, 4.248E+001, 4.854E+000, 6.889E+000, 1.322E+002, 1.351E+002, 1.279E+002, 2.500E+001
 4.000E+002, 3.561E+002, 2.338E+002, 4.282E+001, 4.855E+000, 7.844E+000, 1.323E+002, 1.349E+002, 1.308E+002, 2.500E+001
 4.100E+002, 3.403E+002, 2.233E+002, 4.151E+001, 4.333E+000, 8.376E+000, 1.328E+002, 1.355E+002, 1.348E+002, 2.500E+001
 4.200E+002, 3.586E+002, 2.195E+002, 4.125E+001, 4.617E+000, 7.938E+000, 1.327E+002, 1.350E+002, 1.333E+002, 2.500E+001
 4.300E+002, 3.339E+002, 2.258E+002, 4.204E+001, 4.279E+000, 8.306E+000, 1.332E+002, 1.355E+002, 1.363E+002, 2.500E+001
 4.400E+002, 3.103E+002, 2.251E+002, 4.112E+001, 4.632E+000, 7.569E+000, 1.331E+002, 1.350E+002, 1.336E+002, 2.500E+001
 4.500E+002, 3.333E+002, 2.181E+002, 4.008E+001, 4.808E+000, 7.305E+000, 1.329E+002, 1.345E+002, 1.324E+002, 2.500E+001
 4.600E+002, 3.310E+002, 2.256E+002, 3.803E+001, 4.273E+000, 8.834E+000, 1.330E+002, 1.345E+002, 1.337E+002, 2.500E+001
 4.700E+002, 3.307E+002, 1.991E+002, 4.098E+001, 4.495E+000, 7.419E+000, 1.333E+002, 1.348E+002, 1.351E+002, 2.500E+001
 4.800E+002, 3.185E+002, 2.277E+002, 4.365E+001, 4.641E+000, 7.263E+000, 1.338E+002, 1.355E+002, 1.378E+002, 2.500E+001
 4.900E+002, 3.341E+002, 2.186E+002, 4.418E+001, 5.359E+000, 7.545E+000, 1.343E+002, 1.361E+002, 1.390E+002, 2.500E+001
 5.000E+002, 3.537E+002, 2.343E+002, 4.253E+001, 4.957E+000, 7.901E+000, 1.352E+002, 1.374E+002, 1.425E+002, 2.500E+001
 5.100E+002, 3.487E+002, 2.361E+002, 4.287E+001, 4.466E+000, 7.154E+000, 1.354E+002, 1.375E+002, 1.406E+002, 2.500E+001
 5.200E+002, 3.068E+002, 2.329E+002, 3.966E+001, 4.226E+000, 8.071E+000, 1.352E+002, 1.369E+002, 1.367E+002, 2.500E+001
 5.300E+002, 2.957E+002, 2.302E+002, 3.843E+001, 4.035E+000, 7.270E+000, 1.347E+002, 1.359E+002, 1.322E+002, 2.500E+001
 5.400E+002, 3.035E+002, 2.198E+002, 3.919E+001, 3.907E+000, 7.857E+000, 1.343E+002, 1.350E+002, 1.303E+002, 2.500E+001
 5.500E+002, 3.110E+002, 2.268E+002, 4.122E+001, 4.048E+000, 7.914E+000, 1.344E+002, 1.350E+002, 1.328E+002, 2.500E+001
 5.600E+002, 3.216E+002, 2.294E+002, 4.305E+001, 4.560E+000, 7.743E+000, 1.348E+002, 1.357E+002, 1.365E+002, 2.500E+001
 5.700E+002, 2.862E+002, 2.253E+002, 4.213E+001, 4.268E+000, 6.286E+000, 1.346E+002, 1.353E+002, 1.341E+002, 2.500E+001
 5.800E+002, 3.380E+002, 2.156E+002, 3.860E+001, 4.257E+000, 8.435E+000, 1.342E+002, 1.344E+002, 1.315E+002, 2.500E+001
 5.900E+002, 3.525E+002, 2.295E+002, 3.908E+001, 4.625E+000, 8.459E+000, 1.342E+002, 1.345E+002, 1.335E+002, 2.500E+001
 6.000E+002, 3.267E+002, 2.039E+002, 4.091E+001, 4.531E+000, 8.291E+000, 1.347E+002, 1.352E+002, 1.366E+002, 2.500E+001
