s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.001E+001, 1.801E+001, 1.801E+001, 1.800E+001, 5.887E-003, 9.213E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 2.755E+001, 2.113E+001, 1.805E+001, 1.142E+000, 8.021E-001, 1.807E+001, 1.811E+001, 1.855E+001, 0.000E+000
 3.000E+001, 8.131E+001, 4.060E+001, 1.820E+001, 2.571E+000, 1.432E+000, 1.888E+001, 1.951E+001, 2.459E+001, 0.000E+000
 4.001E+001, 1.533E+002, 6.171E+001, 1.990E+001, 3.285E+000, 1.812E+000, 2.082E+001, 2.279E+001, 3.651E+001, 0.000E+000
 5.000E+001, 2.380E+002, 8.782E+001, 3.261E+001, 4.245E+000, 1.566E+000, 2.476E+001, 2.929E+001, 5.715E+001, 0.000E+000
 6.001E+001, 3.286E+002, 1.166E+002, 4.375E+001, 4.838E+000, 2.467E+000, 3.075E+001, 3.897E+001, 8.315E+001, 2.000E+000
 7.001E+001, 3.746E+002, 1.361E+002, 4.928E+001, 5.598E+000, 4.048E+000, 3.963E+001, 5.300E+001, 1.164E+002, 2.000E+000
 8.000E+001, 4.821E+002, 1.849E+002, 5.872E+001, 4.603E+000, 4.356E+000, 4.942E+001, 6.793E+001, 1.432E+002, 6.000E+000
 9.001E+001, 4.478E+002, 1.983E+002, 5.849E+001, 5.353E+000, 4.777E+000, 5.815E+001, 8.044E+001, 1.551E+002, 8.000E+000
 1.000E+002, 4.415E+002, 1.930E+002, 5.899E+001, 5.105E+000, 4.661E+000, 6.604E+001, 9.108E+001, 1.601E+002, 1.300E+001
 1.100E+002, 3.828E+002, 1.706E+002, 5.528E+001, 7.015E+000, 6.723E+000, 7.447E+001, 1.019E+002, 1.649E+002, 1.700E+001
 1.200E+002, 3.613E+002, 1.466E+002, 4.771E+001, 7.340E+000, 6.714E+000, 8.625E+001, 1.176E+002, 1.884E+002, 1.900E+001
 1.300E+002, 4.263E+002, 1.609E+002, 4.431E+001, 6.314E+000, 4.593E+000, 9.554E+001, 1.288E+002, 1.910E+002, 1.900E+001
 1.400E+002, 4.041E+002, 1.704E+002, 3.917E+001, 6.195E+000, 5.436E+000, 1.009E+002, 1.333E+002, 1.749E+002, 1.900E+001
 1.500E+002, 4.125E+002, 1.991E+002, 4.586E+001, 5.338E+000, 6.512E+000, 1.057E+002, 1.370E+002, 1.667E+002, 1.900E+001
 1.600E+002, 3.745E+002, 2.112E+002, 4.425E+001, 5.453E+000, 5.711E+000, 1.084E+002, 1.375E+002, 1.535E+002, 2.100E+001
 1.700E+002, 3.591E+002, 2.176E+002, 4.089E+001, 5.145E+000, 4.721E+000, 1.106E+002, 1.374E+002, 1.447E+002, 2.200E+001
 1.800E+002, 4.673E+002, 1.924E+002, 4.040E+001, 6.304E+000, 4.112E+000, 1.138E+002, 1.392E+002, 1.484E+002, 2.300E+001
 1.900E+002, 4.619E+002, 2.016E+002, 4.497E+001, 5.483E+000, 4.910E+000, 1.171E+002, 1.413E+002, 1.514E+002, 2.300E+001
 2.000E+002, 4.435E+002, 2.024E+002, 4.640E+001, 6.320E+000, 6.312E+000, 1.201E+002, 1.432E+002, 1.538E+002, 2.300E+001
 2.100E+002, 4.589E+002, 1.971E+002, 4.300E+001, 5.613E+000, 6.804E+000, 1.238E+002, 1.462E+002, 1.593E+002, 2.300E+001
 2.200E+002, 3.918E+002, 2.076E+002, 4.350E+001, 4.391E+000, 7.875E+000, 1.256E+002, 1.464E+002, 1.534E+002, 2.300E+001
 2.300E+002, 3.641E+002, 2.221E+002, 4.594E+001, 4.514E+000, 8.147E+000, 1.266E+002, 1.457E+002, 1.472E+002, 2.300E+001
 2.400E+002, 3.560E+002, 1.977E+002, 4.155E+001, 4.494E+000, 7.451E+000, 1.274E+002, 1.447E+002, 1.424E+002, 2.300E+001
 2.500E+002, 3.616E+002, 2.111E+002, 3.911E+001, 4.162E+000, 7.822E+000, 1.280E+002, 1.437E+002, 1.395E+002, 2.300E+001
 2.600E+002, 3.658E+002, 2.116E+002, 4.140E+001, 4.412E+000, 7.643E+000, 1.286E+002, 1.429E+002, 1.383E+002, 2.300E+001
 2.700E+002, 3.827E+002, 2.056E+002, 4.363E+001, 4.703E+000, 7.922E+000, 1.293E+002, 1.423E+002, 1.382E+002, 2.400E+001
 2.800E+002, 3.996E+002, 2.213E+002, 4.383E+001, 4.182E+000, 8.299E+000, 1.301E+002, 1.421E+002, 1.394E+002, 2.400E+001
 2.900E+002, 3.746E+002, 2.133E+002, 4.411E+001, 4.879E+000, 7.406E+000, 1.312E+002, 1.425E+002, 1.424E+002, 2.400E+001
 3.000E+002, 3.563E+002, 2.192E+002, 4.464E+001, 4.102E+000, 8.273E+000, 1.318E+002, 1.422E+002, 1.410E+002, 2.500E+001
 3.100E+002, 3.546E+002, 2.301E+002, 4.075E+001, 4.616E+000, 8.324E+000, 1.320E+002, 1.414E+002, 1.386E+002, 2.500E+001
 3.200E+002, 3.220E+002, 2.097E+002, 4.098E+001, 4.505E+000, 7.424E+000, 1.334E+002, 1.425E+002, 1.444E+002, 2.500E+001
