s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.800E+001, 1.801E+001, 5.468E-003, 8.616E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 1.860E+001, 1.807E+001, 1.814E+001, 1.409E+000, 4.624E-001, 1.811E+001, 1.820E+001, 1.895E+001, 0.000E+000
 3.002E+001, 3.124E+001, 2.262E+001, 2.094E+001, 2.454E+000, 2.050E+000, 1.915E+001, 1.998E+001, 2.662E+001, 0.000E+000
 4.000E+001, 5.207E+001, 3.827E+001, 3.503E+001, 3.712E+000, 2.995E+000, 2.197E+001, 2.472E+001, 4.383E+001, 0.000E+000
 5.000E+001, 6.977E+001, 5.692E+001, 5.564E+001, 5.129E+000, 3.631E+000, 2.746E+001, 3.376E+001, 7.176E+001, 0.000E+000
 6.000E+001, 8.445E+001, 6.813E+001, 7.185E+001, 5.853E+000, 4.263E+000, 3.621E+001, 4.781E+001, 1.077E+002, 2.000E+000
 7.001E+001, 1.106E+002, 8.766E+001, 7.826E+001, 6.557E+000, 4.664E+000, 4.818E+001, 6.647E+001, 1.476E+002, 2.000E+000
 8.001E+001, 1.288E+002, 1.106E+002, 6.559E+001, 5.523E+000, 4.565E+000, 5.732E+001, 7.956E+001, 1.555E+002, 4.000E+000
 9.000E+001, 1.393E+002, 1.175E+002, 7.588E+001, 6.595E+000, 4.954E+000, 6.462E+001, 8.881E+001, 1.504E+002, 6.000E+000
 1.000E+002, 1.251E+002, 1.095E+002, 6.945E+001, 6.766E+000, 3.731E+000, 7.163E+001, 9.717E+001, 1.479E+002, 8.000E+000
 1.100E+002, 1.101E+002, 9.618E+001, 6.387E+001, 5.508E+000, 3.935E+000, 7.703E+001, 1.027E+002, 1.410E+002, 8.000E+000
 1.200E+002, 9.487E+001, 8.882E+001, 3.549E+001, 5.027E+000, 2.718E+000, 7.964E+001, 1.040E+002, 1.271E+002, 9.000E+000
 1.300E+002, 8.443E+001, 7.668E+001, 3.257E+001, 4.809E+000, 3.185E+000, 8.244E+001, 1.057E+002, 1.227E+002, 1.000E+001
 1.400E+002, 7.870E+001, 7.226E+001, 3.605E+001, 4.611E+000, 3.050E+000, 8.510E+001, 1.074E+002, 1.208E+002, 1.000E+001
 1.500E+002, 9.527E+001, 7.622E+001, 3.550E+001, 6.023E+000, 4.094E+000, 8.803E+001, 1.095E+002, 1.231E+002, 1.000E+001
 1.600E+002, 1.117E+002, 8.903E+001, 5.390E+001, 5.830E+000, 4.597E+000, 9.324E+001, 1.153E+002, 1.383E+002, 1.000E+001
 1.700E+002, 1.347E+002, 1.089E+002, 6.392E+001, 6.052E+000, 5.175E+000, 9.699E+001, 1.187E+002, 1.389E+002, 1.100E+001
 1.800E+002, 1.158E+002, 9.703E+001, 6.114E+001, 6.349E+000, 4.704E+000, 1.008E+002, 1.222E+002, 1.418E+002, 1.200E+001
 1.900E+002, 1.119E+002, 9.132E+001, 5.765E+001, 5.553E+000, 4.204E+000, 1.043E+002, 1.251E+002, 1.427E+002, 1.200E+001
 2.000E+002, 8.450E+001, 8.183E+001, 4.360E+001, 5.088E+000, 3.208E+000, 1.060E+002, 1.252E+002, 1.333E+002, 1.300E+001
 2.100E+002, 8.435E+001, 7.520E+001, 3.470E+001, 5.223E+000, 3.730E+000, 1.065E+002, 1.237E+002, 1.233E+002, 1.400E+001
 2.200E+002, 9.277E+001, 7.596E+001, 3.836E+001, 5.669E+000, 3.946E+000, 1.081E+002, 1.241E+002, 1.257E+002, 1.400E+001
 2.300E+002, 1.105E+002, 8.757E+001, 4.429E+001, 5.758E+000, 4.439E+000, 1.111E+002, 1.272E+002, 1.372E+002, 1.400E+001
 2.400E+002, 1.065E+002, 8.963E+001, 5.336E+001, 5.485E+000, 3.841E+000, 1.139E+002, 1.298E+002, 1.426E+002, 1.400E+001
 2.500E+002, 1.285E+002, 1.025E+002, 5.786E+001, 5.976E+000, 4.653E+000, 1.174E+002, 1.336E+002, 1.499E+002, 1.400E+001
 2.600E+002, 1.113E+002, 9.690E+001, 5.383E+001, 5.219E+000, 3.769E+000, 1.197E+002, 1.353E+002, 1.483E+002, 1.400E+001
 2.700E+002, 1.136E+002, 8.984E+001, 3.543E+001, 6.001E+000, 4.162E+000, 1.224E+002, 1.379E+002, 1.525E+002, 1.600E+001
 2.800E+002, 1.165E+002, 9.499E+001, 5.466E+001, 6.344E+000, 4.244E+000, 1.294E+002, 1.476E+002, 1.825E+002, 1.600E+001
 2.900E+002, 1.086E+002, 9.094E+001, 4.562E+001, 6.617E+000, 4.136E+000, 1.335E+002, 1.519E+002, 1.789E+002, 1.600E+001
 3.000E+002, 1.286E+002, 9.569E+001, 4.231E+001, 6.412E+000, 5.032E+000, 1.364E+002, 1.542E+002, 1.733E+002, 1.600E+001
 3.100E+002, 1.478E+002, 1.105E+002, 6.209E+001, 7.466E+000, 5.388E+000, 1.400E+002, 1.577E+002, 1.769E+002, 1.600E+001
 3.200E+002, 1.240E+002, 1.000E+002, 6.364E+001, 7.207E+000, 5.242E+000, 1.449E+002, 1.632E+002, 1.852E+002, 1.600E+001
