s,C,C,C,m/s,m/s,C,C,C,
 3.300E+002, 1.295E+002, 1.021E+002, 6.855E+001, 5.830E+000, 4.798E+000, 1.449E+002, 1.607E+002, 1.627E+002, 1.600E+001
 3.400E+002, 1.272E+002, 1.016E+002, 6.809E+001, 6.764E+000, 5.100E+000, 1.459E+002, 1.601E+002, 1.604E+002, 1.700E+001
 3.500E+002, 1.141E+002, 9.064E+001, 6.744E+001, 6.817E+000, 4.262E+000, 1.481E+002, 1.618E+002, 1.669E+002, 1.700E+001
 3.600E+002, 1.310E+002, 9.786E+001, 6.201E+001, 7.810E+000, 4.818E+000, 1.498E+002, 1.627E+002, 1.672E+002, 1.700E+001
 3.700E+002, 1.310E+002, 1.066E+002, 5.247E+001, 7.060E+000, 4.839E+000, 1.529E+002, 1.659E+002, 1.768E+002, 1.800E+001
 3.800E+002, 1.267E+002, 9.948E+001, 6.321E+001, 7.262E+000, 4.867E+000, 1.562E+002, 1.695E+002, 1.850E+002, 1.800E+001
 3.900E+002, 1.166E+002, 9.189E+001, 7.317E+001, 7.459E+000, 4.212E+000, 1.598E+002, 1.736E+002, 1.913E+002, 1.800E+001
 4.000E+002, 1.224E+002, 9.151E+001, 7.040E+001, 6.155E+000, 5.185E+000, 1.620E+002, 1.753E+002, 1.875E+002, 1.800E+001
 4.100E+002, 1.238E+002, 9.474E+001, 6.173E+001, 6.325E+000, 4.805E+000, 1.627E+002, 1.747E+002, 1.787E+002, 1.800E+001
 4.200E+002, 1.226E+002, 8.959E+001, 5.674E+001, 6.529E+000, 5.019E+000, 1.644E+002, 1.759E+002, 1.813E+002, 1.800E+001
 4.300E+002, 1.176E+002, 8.642E+001, 6.083E+001, 7.735E+000, 4.623E+000, 1.665E+002, 1.777E+002, 1.857E+002, 1.800E+001
 4.400E+002, 1.047E+002, 8.073E+001, 5.693E+001, 6.590E+000, 4.472E+000, 1.683E+002, 1.790E+002, 1.854E+002, 1.800E+001
 4.500E+002, 1.319E+002, 9.974E+001, 5.789E+001, 5.798E+000, 5.372E+000, 1.676E+002, 1.763E+002, 1.703E+002, 1.800E+001
 4.600E+002, 1.263E+002, 1.017E+002, 6.392E+001, 6.828E+000, 4.842E+000, 1.666E+002, 1.734E+002, 1.636E+002, 1.800E+001
 4.700E+002, 1.330E+002, 9.799E+001, 7.030E+001, 6.920E+000, 4.995E+000, 1.682E+002, 1.752E+002, 1.761E+002, 1.800E+001
 4.800E+002, 1.413E+002, 1.032E+002, 6.907E+001, 5.959E+000, 5.574E+000, 1.678E+002, 1.734E+002, 1.673E+002, 1.800E+001
 4.900E+002, 1.304E+002, 1.004E+002, 6.319E+001, 6.742E+000, 5.323E+000, 1.678E+002, 1.727E+002, 1.693E+002, 1.800E+001
 5.000E+002, 1.324E+002, 9.965E+001, 6.468E+001, 6.586E+000, 5.188E+000, 1.683E+002, 1.728E+002, 1.704E+002, 1.800E+001
 5.100E+002, 1.445E+002, 1.111E+002, 6.122E+001, 6.860E+000, 5.599E+000, 1.668E+002, 1.696E+002, 1.597E+002, 1.800E+001
 5.200E+002, 1.268E+002, 1.027E+002, 6.392E+001, 5.997E+000, 4.528E+000, 1.667E+002, 1.691E+002, 1.632E+002, 1.800E+001
 5.300E+002, 1.234E+002, 9.611E+001, 6.590E+001, 6.513E+000, 4.663E+000, 1.661E+002, 1.677E+002, 1.606E+002, 1.800E+001
 5.400E+002, 1.140E+002, 8.850E+001, 6.532E+001, 6.203E+000, 4.500E+000, 1.648E+002, 1.652E+002, 1.552E+002, 1.800E+001
 5.500E+002, 1.219E+002, 9.399E+001, 6.452E+001, 6.506E+000, 4.712E+000, 1.654E+002, 1.663E+002, 1.653E+002, 1.800E+001
 5.600E+002, 1.199E+002, 9.216E+001, 6.685E+001, 7.071E+000, 4.724E+000, 1.661E+002, 1.674E+002, 1.693E+002, 1.800E+001
 5.700E+002, 1.262E+002, 9.547E+001, 6.054E+001, 6.067E+000, 4.588E+000, 1.648E+002, 1.649E+002, 1.582E+002, 1.800E+001
 5.800E+002, 1.094E+002, 8.638E+001, 6.190E+001, 6.515E+000, 4.694E+000, 1.658E+002, 1.665E+002, 1.690E+002, 1.800E+001
 5.900E+002, 1.249E+002, 9.313E+001, 5.907E+001, 6.925E+000, 5.114E+000, 1.664E+002, 1.676E+002, 1.719E+002, 1.800E+001
 6.000E+002, 1.240E+002, 9.712E+001, 7.049E+001, 5.877E+000, 4.766E+000, 1.657E+002, 1.662E+002, 1.629E+002, 1.800E+001
