s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.801E+001, 1.800E+001, 1.801E+001, 5.211E-003, 1.075E-002, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 2.043E+001, 1.807E+001, 1.817E+001, 1.809E+000, 8.609E-001, 1.837E+001, 1.865E+001, 2.108E+001, 0.000E+000
 3.001E+001, 3.536E+001, 2.430E+001, 2.013E+001, 4.585E+000, 1.646E+000, 2.250E+001, 2.569E+001, 4.994E+001, 0.000E+000
 4.001E+001, 6.068E+001, 4.555E+001, 2.585E+001, 6.344E+000, 2.388E+000, 3.290E+001, 4.297E+001, 1.064E+002, 0.000E+000
 5.000E+001, 8.442E+001, 6.277E+001, 4.193E+001, 7.622E+000, 3.135E+000, 5.028E+001, 7.095E+001, 1.794E+002, 0.000E+000
 6.001E+001, 1.114E+002, 8.630E+001, 5.145E+001, 8.837E+000, 4.034E+000, 7.719E+001, 1.131E+002, 2.740E+002, 0.000E+000
 7.001E+001, 1.462E+002, 1.099E+002, 5.697E+001, 9.426E+000, 4.680E+000, 1.137E+002, 1.687E+002, 3.821E+002, 1.000E+000
 8.001E+001, 1.727E+002, 1.332E+002, 6.654E+001, 1.031E+001, 4.639E+000, 1.544E+002, 2.274E+002, 4.549E+002, 4.000E+000
 9.000E+001, 1.435E+002, 1.144E+002, 4.919E+001, 8.793E+000, 4.025E+000, 1.726E+002, 2.460E+002, 3.828E+002, 5.000E+000
 1.000E+002, 1.593E+002, 1.221E+002, 3.602E+001, 9.424E+000, 5.236E+000, 1.895E+002, 2.620E+002, 3.565E+002, 5.000E+000
 1.100E+002, 1.384E+002, 1.123E+002, 3.678E+001, 1.140E+001, 3.686E+000, 2.059E+002, 2.770E+002, 3.540E+002, 7.000E+000
 1.200E+002, 1.071E+002, 9.995E+001, 3.414E+001, 7.456E+000, 2.329E+000, 2.224E+002, 2.925E+002, 3.569E+002, 8.000E+000
 1.300E+002, 1.070E+002, 9.166E+001, 3.123E+001, 9.443E+000, 3.973E+000, 2.285E+002, 2.917E+002, 3.187E+002, 9.000E+000
 1.400E+002, 1.498E+002, 1.064E+002, 2.956E+001, 1.063E+001, 6.184E+000, 2.363E+002, 2.940E+002, 3.116E+002, 9.000E+000
 1.500E+002, 1.167E+002, 8.712E+001, 2.720E+001, 1.113E+001, 5.025E+000, 2.508E+002, 3.078E+002, 3.491E+002, 9.000E+000
 1.600E+002, 1.463E+002, 9.507E+001, 2.865E+001, 1.042E+001, 6.040E+000, 2.585E+002, 3.105E+002, 3.313E+002, 9.000E+000
 1.700E+002, 1.356E+002, 9.809E+001, 3.305E+001, 1.122E+001, 5.534E+000, 2.679E+002, 3.169E+002, 3.423E+002, 9.000E+000
 1.800E+002, 1.412E+002, 9.524E+001, 3.091E+001, 1.002E+001, 6.265E+000, 2.753E+002, 3.204E+002, 3.357E+002, 1.100E+001
 1.900E+002, 1.330E+002, 9.017E+001, 3.082E+001, 1.133E+001, 5.397E+000, 2.803E+002, 3.209E+002, 3.296E+002, 1.100E+001
 2.000E+002, 1.180E+002, 7.860E+001, 3.037E+001, 1.033E+001, 4.713E+000, 2.890E+002, 3.280E+002, 3.493E+002, 1.100E+001
 2.100E+002, 1.293E+002, 8.056E+001, 2.773E+001, 8.068E+000, 5.353E+000, 2.918E+002, 3.262E+002, 3.264E+002, 1.100E+001
 2.200E+002, 1.638E+002, 1.011E+002, 2.732E+001, 7.437E+000, 6.822E+000, 2.870E+002, 3.129E+002, 2.747E+002, 1.100E+001
 2.300E+002, 1.896E+002, 1.166E+002, 2.737E+001, 6.690E+000, 7.502E+000, 2.798E+002, 2.968E+002, 2.349E+002, 1.100E+001
 2.400E+002, 1.679E+002, 1.102E+002, 2.752E+001, 6.960E+000, 6.294E+000, 2.719E+002, 2.809E+002, 2.081E+002, 1.100E+001
 2.500E+002, 1.556E+002, 1.005E+002, 2.719E+001, 7.469E+000, 6.477E+000, 2.681E+002, 2.731E+002, 2.203E+002, 1.100E+001
 2.600E+002, 1.474E+002, 9.612E+001, 2.786E+001, 9.598E+000, 5.707E+000, 2.670E+002, 2.706E+002, 2.453E+002, 1.200E+001
 2.700E+002, 1.197E+002, 8.195E+001, 2.813E+001, 8.923E+000, 4.070E+000, 2.703E+002, 2.755E+002, 2.776E+002, 1.200E+001
 2.800E+002, 1.285E+002, 8.534E+001, 2.782E+001, 8.160E+000, 4.398E+000, 2.700E+002, 2.742E+002, 2.710E+002, 1.200E+001
 2.900E+002, 1.294E+002, 8.872E+001, 2.808E+001, 8.539E+000, 5.179E+000, 2.678E+002, 2.697E+002, 2.565E+002, 1.200E+001
 3.000E+002, 1.291E+002, 8.610E+001, 2.857E+001, 1.009E+001, 5.291E+000, 2.705E+002, 2.741E+002, 2.830E+002, 1.200E+001
 3.100E+002, 1.477E+002, 9.089E+001, 2.908E+001, 7.204E+000, 6.379E+000, 2.713E+002, 2.748E+002, 2.753E+002, 1.200E+001
 3.200E+002, 1.445E+002, 8.896E+001, 2.796E+001, 9.254E+000, 6.273E+000, 2.679E+002, 2.685E+002, 2.534E+002, 1.200E+001
