s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.801E+001, 1.800E+001, 1.800E+001, 5.065E-003, 9.704E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 1.879E+001, 1.811E+001, 1.968E+001, 3.678E-001, 5.356E-001, 1.801E+001, 1.802E+001, 1.808E+001, 0.000E+000
 3.002E+001, 2.717E+001, 2.190E+001, 4.107E+001, 1.077E+000, 1.702E+000, 1.815E+001, 1.826E+001, 1.920E+001, 0.000E+000
 4.001E+001, 3.738E+001, 3.060E+001, 6.580E+001, 1.454E+000, 2.453E+000, 1.851E+001, 1.888E+001, 2.175E+001, 0.000E+000
 5.000E+001, 5.721E+001, 4.257E+001, 8.833E+001, 2.204E+000, 3.685E+000, 1.934E+001, 2.027E+001, 2.690E+001, 0.000E+000
 6.001E+001, 7.328E+001, 5.388E+001, 1.101E+002, 2.886E+000, 4.500E+000, 2.099E+001, 2.302E+001, 3.609E+001, 0.000E+000
 7.001E+001, 9.237E+001, 6.867E+001, 1.239E+002, 3.635E+000, 5.246E+000, 2.364E+001, 2.736E+001, 4.881E+001, 4.000E+000
 8.000E+001, 1.166E+002, 8.707E+001, 1.015E+002, 3.860E+000, 4.870E+000, 2.797E+001, 3.434E+001, 6.797E+001, 4.000E+000
 9.000E+001, 9.861E+001, 8.298E+001, 1.406E+002, 3.325E+000, 3.683E+000, 3.265E+001, 4.163E+001, 8.276E+001, 6.000E+000
 1.000E+002, 9.893E+001, 9.137E+001, 1.263E+002, 3.470E+000, 3.708E+000, 3.673E+001, 4.769E+001, 9.027E+001, 1.000E+001
 1.100E+002, 8.690E+001, 9.125E+001, 1.194E+002, 1.349E+000, 1.211E+000, 4.019E+001, 5.261E+001, 9.431E+001, 1.000E+001
 1.200E+002, 7.621E+001, 7.925E+001, 1.340E+002, 1.126E+000, 7.587E-001, 4.133E+001, 5.398E+001, 9.116E+001, 1.100E+001
 1.300E+002, 1.006E+002, 8.146E+001, 1.311E+002, 2.779E+000, 3.753E+000, 4.323E+001, 5.624E+001, 8.845E+001, 1.400E+001
 1.400E+002, 9.774E+001, 8.645E+001, 1.260E+002, 3.542E+000, 3.137E+000, 4.641E+001, 6.034E+001, 9.170E+001, 1.500E+001
 1.500E+002, 1.168E+002, 9.616E+001, 1.135E+002, 3.129E+000, 4.059E+000, 4.959E+001, 6.430E+001, 9.447E+001, 1.700E+001
 1.600E+002, 1.278E+002, 1.175E+002, 9.920E+001, 3.092E+000, 4.865E+000, 5.313E+001, 6.888E+001, 1.010E+002, 1.900E+001
 1.700E+002, 1.142E+002, 9.886E+001, 1.137E+002, 2.377E+000, 3.159E+000, 5.612E+001, 7.247E+001, 1.028E+002, 1.900E+001
 1.800E+002, 9.592E+001, 9.127E+001, 1.141E+002, 1.729E+000, 1.375E+000, 5.745E+001, 7.350E+001, 9.690E+001, 1.900E+001
 1.900E+002, 9.108E+001, 8.472E+001, 1.255E+002, 9.647E-001, 9.106E-001, 5.825E+001, 7.373E+001, 9.045E+001, 2.000E+001
 2.000E+002, 7.835E+001, 7.824E+001, 1.298E+002, 9.649E-001, 9.368E-001, 5.845E+001, 7.329E+001, 8.445E+001, 2.000E+001
 2.100E+002, 7.108E+001, 7.032E+001, 1.223E+002, 9.652E-001, 1.113E+000, 5.854E+001, 7.256E+001, 7.813E+001, 2.100E+001
 2.200E+002, 6.433E+001, 6.401E+001, 1.086E+002, 1.089E+000, 1.158E+000, 5.851E+001, 7.168E+001, 7.264E+001, 2.100E+001
 2.300E+002, 5.397E+001, 5.787E+001, 1.044E+002, 1.146E+000, 1.222E+000, 5.807E+001, 7.010E+001, 6.515E+001, 2.100E+001
 2.400E+002, 3.054E+001, 5.062E+001, 1.065E+002, 1.164E+000, 1.176E+000, 5.731E+001, 6.802E+001, 5.714E+001, 2.200E+001
 2.500E+002, 3.183E+001, 4.354E+001, 1.159E+002, 1.338E+000, 1.223E+000, 5.632E+001, 6.562E+001, 4.956E+001, 2.200E+001
 2.600E+002, 3.033E+001, 3.752E+001, 1.179E+002, 1.355E+000, 1.158E+000, 5.526E+001, 6.316E+001, 4.342E+001, 2.300E+001
 2.700E+002, 3.071E+001, 3.287E+001, 1.200E+002, 1.565E+000, 1.139E+000, 5.421E+001, 6.078E+001, 3.927E+001, 2.300E+001
 2.800E+002, 2.805E+001, 3.138E+001, 1.112E+002, 1.389E+000, 1.098E+000, 5.318E+001, 5.855E+001, 3.590E+001, 2.300E+001
 2.900E+002, 2.830E+001, 2.858E+001, 1.158E+002, 1.176E+000, 9.597E-001, 5.214E+001, 5.640E+001, 3.317E+001, 2.300E+001
 3.000E+002, 2.621E+001, 2.612E+001, 1.149E+002, 1.236E+000, 9.240E-001, 5.117E+001, 5.445E+001, 3.112E+001, 2.300E+001
 3.100E+002, 2.493E+001, 2.511E+001, 1.152E+002, 1.594E+000, 1.076E+000, 5.022E+001, 5.258E+001, 3.000E+001, 2.300E+001
 3.200E+002, 2.752E+001, 2.503E+001, 1.064E+002, 1.495E+000, 1.099E+000, 4.942E+001, 5.102E+001, 3.049E+001, 2.300E+001
