s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_075,TC_076,TC_077,TC_078,TC_079,TC_080,TC_081,TC_082,TC_083,TC_084,TC_085,TC_086,TC_087,TC_088,TC_089,TC_090,TC_091,TC_092,TC_093,TC_094,TC_095,TC_096,TC_097,TC_098,TC_099,TC_100,TC_101,TC_102,TC_103,TC_104,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 9.000E+001, 4.229E+001, 2.734E+001, 2.037E+001, 2.020E+001, 2.010E+001, 2.002E+001, 2.003E+001, 2.003E+001, 2.006E+001, 1.814E+001, 3.684E+001, 4.644E+001, 3.228E+001, 2.075E+001, 1.944E+001, 1.922E+001, 1.913E+001, 1.915E+001, 1.914E+001, 1.923E+001, 1.814E+001, 3.723E+001, 4.569E+001, 3.266E+001, 2.081E+001, 1.986E+001, 2.010E+001, 2.033E+001, 2.020E+001, 1.951E+001, 1.904E+001, 1.947E+001, 2.352E+002, 2.205E+002, 2.171E+002, 2.233E+002, 2.405E+002, 2.673E+002, 2.989E+002, 3.157E+002, 3.546E+002, 3.971E+002, 6.137E+001, 6.034E+001, 6.098E+001, 6.194E+001, 6.471E+001, 6.658E+001, 6.971E+001, 6.396E+001, 6.696E+001, 5.572E+001, 5.178E+001, 8.470E+001, 8.224E+001, 6.279E+001, 5.470E+001, 1.077E+002, 9.092E+001, 6.911E+001, 5.537E+001, 6.380E+001, 8.719E+001, 1.202E+002, 7.878E+001, 6.130E+001, 5.560E+001, 4.991E+001, 5.830E+001, 6.236E+001, 6.590E+001, 7.573E+001, 8.148E+001, 6.773E+001, 8.937E+001, 1.005E+002, 6.922E+001, 8.849E+001, 1.188E+002, 1.167E+002, 9.773E+001, 6.626E+001, 5.438E+001, 6.576E+001, 8.073E+001, 9.734E+001, 9.262E+001, 8.001E+001, 6.663E+001, 5.558E+001, 5.286E+001, 6.820E+001, 6.892E+001, 6.626E+001, 6.528E+001, 5.548E+001, 4.966E+001, 2.078E-001, 3.868E-004, 4.305E-021, 1.957E-001, 4.803E-003, 1.386E-005, 4.000E+000
 1.000E+002, 4.529E+001, 2.922E+001, 2.032E+001, 2.015E+001, 2.004E+001, 1.996E+001, 1.994E+001, 1.994E+001, 1.998E+001, 1.825E+001, 3.741E+001, 4.677E+001, 3.376E+001, 2.153E+001, 1.931E+001, 1.912E+001, 1.907E+001, 1.909E+001, 1.910E+001, 1.918E+001, 1.824E+001, 3.789E+001, 4.803E+001, 3.636E+001, 2.146E+001, 1.997E+001, 2.001E+001, 2.007E+001, 2.000E+001, 1.944E+001, 1.905E+001, 2.073E+001, 2.078E+002, 2.018E+002, 1.952E+002, 1.985E+002, 2.141E+002, 2.371E+002, 2.674E+002, 2.856E+002, 3.262E+002, 3.745E+002, 6.571E+001, 6.587E+001, 6.737E+001, 6.865E+001, 7.030E+001, 7.114E+001, 7.262E+001, 6.304E+001, 6.521E+001, 6.032E+001, 5.038E+001, 8.166E+001, 8.655E+001, 6.268E+001, 5.255E+001, 9.841E+001, 9.734E+001, 6.697E+001, 5.508E+001, 6.363E+001, 8.085E+001, 1.247E+002, 7.810E+001, 6.012E+001, 5.781E+001, 5.229E+001, 6.463E+001, 5.171E+001, 5.973E+001, 7.257E+001, 7.998E+001, 6.195E+001, 8.378E+001, 9.969E+001, 7.134E+001, 9.356E+001, 1.250E+002, 1.140E+002, 8.497E+001, 6.210E+001, 5.442E+001, 6.707E+001, 8.807E+001, 1.059E+002, 9.194E+001, 7.591E+001, 6.069E+001, 5.252E+001, 5.684E+001, 7.184E+001, 7.062E+001, 6.301E+001, 6.224E+001, 5.516E+001, 4.663E+001, 2.078E-001, 3.868E-004, 7.626E-012, 1.935E-001, 5.523E-003, 1.612E-005, 4.000E+000
 1.100E+002, 5.205E+001, 3.493E+001, 2.123E+001, 2.024E+001, 2.011E+001, 1.999E+001, 1.997E+001, 1.994E+001, 1.997E+001, 1.838E+001, 3.941E+001, 5.332E+001, 3.981E+001, 2.225E+001, 1.942E+001, 1.921E+001, 1.913E+001, 1.912E+001, 1.913E+001, 1.920E+001, 1.837E+001, 3.792E+001, 4.995E+001, 3.873E+001, 2.283E+001, 1.995E+001, 1.966E+001, 1.981E+001, 1.963E+001, 1.915E+001, 1.903E+001, 2.239E+001, 2.006E+002, 1.946E+002, 1.899E+002, 1.937E+002, 2.083E+002, 2.323E+002, 2.639E+002, 2.822E+002, 3.246E+002, 3.708E+002, 7.134E+001, 7.176E+001, 7.311E+001, 7.422E+001, 7.561E+001, 7.651E+001, 7.715E+001, 5.977E+001, 6.574E+001, 6.513E+001, 5.807E+001, 7.960E+001, 8.725E+001, 7.083E+001, 5.657E+001, 9.924E+001, 9.990E+001, 6.985E+001, 4.909E+001, 6.033E+001, 7.791E+001, 1.208E+002, 8.379E+001, 5.855E+001, 6.346E+001, 5.397E+001, 6.111E+001, 5.594E+001, 5.990E+001, 7.223E+001, 7.946E+001, 6.049E+001, 8.200E+001, 9.258E+001, 6.827E+001, 9.304E+001, 1.200E+002, 1.193E+002, 8.589E+001, 5.945E+001, 4.219E+001, 7.003E+001, 7.999E+001, 9.518E+001, 9.067E+001, 8.179E+001, 6.307E+001, 5.065E+001, 5.999E+001, 6.643E+001, 6.877E+001, 6.557E+001, 6.208E+001, 5.946E+001, 4.868E+001, 2.077E-001, 3.876E-004, 3.152E-009, 1.915E-001, 6.146E-003, 1.808E-005, 4.000E+000
 1.200E+002, 5.336E+001, 3.901E+001, 2.296E+001, 2.031E+001, 2.013E+001, 2.000E+001, 1.995E+001, 1.990E+001, 1.994E+001, 1.854E+001, 4.057E+001, 5.745E+001, 4.437E+001, 2.309E+001, 1.957E+001, 1.934E+001, 1.923E+001, 1.919E+001, 1.923E+001, 1.926E+001, 1.853E+001, 3.926E+001, 5.134E+001, 3.955E+001, 2.419E+001, 2.005E+001, 1.948E+001, 1.948E+001, 1.935E+001, 1.909E+001, 1.900E+001, 2.433E+001, 2.270E+002, 2.303E+002, 2.255E+002, 2.357E+002, 2.566E+002, 2.894E+002, 3.280E+002, 3.500E+002, 3.960E+002, 4.484E+002, 6.973E+001, 6.964E+001, 6.986E+001, 7.056E+001, 7.146E+001, 7.274E+001, 7.545E+001, 6.940E+001, 7.043E+001, 6.314E+001, 6.195E+001, 9.694E+001, 8.264E+001, 7.238E+001, 5.381E+001, 9.520E+001, 9.542E+001, 6.651E+001, 4.415E+001, 7.302E+001, 8.964E+001, 1.103E+002, 7.735E+001, 5.249E+001, 6.383E+001, 5.138E+001, 5.956E+001, 6.698E+001, 6.161E+001, 7.134E+001, 8.842E+001, 7.061E+001, 9.645E+001, 1.127E+002, 6.600E+001, 1.031E+002, 1.258E+002, 1.048E+002, 9.071E+001, 6.479E+001, 4.566E+001, 7.207E+001, 8.441E+001, 9.499E+001, 9.382E+001, 8.032E+001, 6.505E+001, 4.998E+001, 6.221E+001, 6.654E+001, 6.350E+001, 6.574E+001, 6.457E+001, 5.812E+001, 5.368E+001, 2.078E-001, 3.868E-004, 9.317E-012, 1.935E-001, 5.464E-003, 1.594E-005, 4.000E+000
 1.300E+002, 4.830E+001, 3.650E+001, 2.267E+001, 2.021E+001, 2.010E+001, 1.996E+001, 1.992E+001, 1.985E+001, 1.984E+001, 1.873E+001, 3.946E+001, 5.164E+001, 4.085E+001, 2.247E+001, 1.955E+001, 1.940E+001, 1.928E+001, 1.921E+001, 1.920E+001, 1.921E+001, 1.871E+001, 3.885E+001, 5.049E+001, 3.772E+001, 2.362E+001, 2.041E+001, 1.961E+001, 1.929E+001, 1.926E+001, 1.910E+001, 1.891E+001, 2.642E+001, 1.837E+002, 1.673E+002, 1.563E+002, 1.437E+002, 1.446E+002, 1.545E+002, 1.683E+002, 1.747E+002, 1.960E+002, 2.228E+002, 6.222E+001, 6.238E+001, 6.344E+001, 6.427E+001, 6.650E+001, 6.784E+001, 7.009E+001, 6.942E+001, 6.596E+001, 5.844E+001, 5.579E+001, 9.153E+001, 7.286E+001, 6.274E+001, 5.351E+001, 7.127E+001, 7.903E+001, 6.001E+001, 4.651E+001, 7.036E+001, 8.352E+001, 8.920E+001, 6.952E+001, 5.259E+001, 5.885E+001, 5.860E+001, 6.228E+001, 6.783E+001, 6.606E+001, 8.109E+001, 9.226E+001, 7.350E+001, 1.071E+002, 1.211E+002, 7.078E+001, 9.691E+001, 1.078E+002, 9.278E+001, 8.102E+001, 5.901E+001, 3.850E+001, 6.620E+001, 8.000E+001, 8.546E+001, 8.637E+001, 7.954E+001, 6.146E+001, 5.234E+001, 5.569E+001, 6.304E+001, 5.947E+001, 6.649E+001, 6.663E+001, 5.830E+001, 4.622E+001, 2.071E-001, 3.982E-004, 3.966E-008, 1.930E-001, 5.352E-003, 1.559E-005, 4.000E+000
 1.400E+002, 4.615E+001, 3.445E+001, 2.376E+001, 2.021E+001, 2.008E+001, 1.998E+001, 1.994E+001, 1.990E+001, 1.992E+001, 1.893E+001, 3.910E+001, 4.935E+001, 3.960E+001, 2.235E+001, 1.958E+001, 1.936E+001, 1.922E+001, 1.919E+001, 1.917E+001, 1.918E+001, 1.891E+001, 3.882E+001, 4.859E+001, 3.572E+001, 2.372E+001, 2.084E+001, 2.006E+001, 1.928E+001, 1.938E+001, 1.917E+001, 1.896E+001, 2.857E+001, 1.876E+002, 1.788E+002, 1.687E+002, 1.646E+002, 1.724E+002, 1.888E+002, 2.123E+002, 2.282E+002, 2.631E+002, 3.061E+002, 6.304E+001, 6.275E+001, 6.424E+001, 6.553E+001, 6.691E+001, 6.711E+001, 6.828E+001, 6.827E+001, 6.414E+001, 5.868E+001, 5.284E+001, 8.334E+001, 7.416E+001, 6.106E+001, 4.970E+001, 8.096E+001, 7.636E+001, 6.197E+001, 4.932E+001, 6.628E+001, 7.796E+001, 9.028E+001, 6.830E+001, 5.517E+001, 5.788E+001, 5.708E+001, 6.631E+001, 7.417E+001, 5.789E+001, 7.643E+001, 9.730E+001, 6.699E+001, 9.343E+001, 1.170E+002, 7.216E+001, 9.916E+001, 1.139E+002, 9.802E+001, 8.575E+001, 6.120E+001, 3.872E+001, 6.824E+001, 8.769E+001, 8.746E+001, 8.715E+001, 7.813E+001, 6.463E+001, 5.180E+001, 6.494E+001, 6.618E+001, 6.544E+001, 6.628E+001, 6.499E+001, 5.948E+001, 5.287E+001, 2.069E-001, 4.081E-004, 7.160E-008, 1.947E-001, 4.956E-003, 1.434E-005, 4.000E+000
 1.500E+002, 4.625E+001, 3.458E+001, 2.276E+001, 2.037E+001, 2.017E+001, 2.005E+001, 1.998E+001, 1.995E+001, 1.995E+001, 1.914E+001, 3.954E+001, 4.911E+001, 3.761E+001, 2.302E+001, 1.967E+001, 1.938E+001, 1.920E+001, 1.915E+001, 1.916E+001, 1.917E+001, 1.912E+001, 3.902E+001, 4.909E+001, 3.795E+001, 2.266E+001, 2.041E+001, 1.966E+001, 1.939E+001, 1.922E+001, 1.904E+001, 1.892E+001, 3.070E+001, 1.966E+002, 1.977E+002, 1.881E+002, 1.875E+002, 2.026E+002, 2.233E+002, 2.515E+002, 2.689E+002, 3.079E+002, 3.533E+002, 5.970E+001, 5.941E+001, 6.020E+001, 6.104E+001, 6.291E+001, 6.391E+001, 6.436E+001, 6.822E+001, 6.240E+001, 5.483E+001, 5.135E+001, 8.420E+001, 7.229E+001, 6.506E+001, 5.341E+001, 8.808E+001, 9.223E+001, 6.704E+001, 4.932E+001, 6.552E+001, 7.578E+001, 1.057E+002, 7.720E+001, 5.900E+001, 5.488E+001, 5.529E+001, 7.050E+001, 7.115E+001, 6.166E+001, 8.290E+001, 9.884E+001, 6.520E+001, 9.209E+001, 1.148E+002, 5.799E+001, 8.174E+001, 1.048E+002, 1.038E+002, 9.336E+001, 7.002E+001, 5.029E+001, 5.840E+001, 6.985E+001, 9.027E+001, 1.018E+002, 7.860E+001, 6.268E+001, 5.402E+001, 5.360E+001, 5.736E+001, 6.949E+001, 7.750E+001, 7.708E+001, 5.543E+001, 4.849E+001, 2.069E-001, 4.088E-004, 7.366E-008, 1.953E-001, 4.912E-003, 1.420E-005, 4.000E+000
 1.600E+002, 4.837E+001, 3.479E+001, 2.270E+001, 2.099E+001, 2.035E+001, 2.005E+001, 1.998E+001, 1.995E+001, 1.995E+001, 1.937E+001, 4.049E+001, 5.258E+001, 4.204E+001, 2.545E+001, 2.052E+001, 2.013E+001, 1.949E+001, 1.928E+001, 1.920E+001, 1.923E+001, 1.934E+001, 3.923E+001, 4.756E+001, 3.716E+001, 2.448E+001, 2.067E+001, 1.965E+001, 1.957E+001, 1.951E+001, 1.944E+001, 1.908E+001, 3.276E+001, 1.964E+002, 1.962E+002, 1.841E+002, 1.803E+002, 1.892E+002, 2.066E+002, 2.286E+002, 2.405E+002, 2.738E+002, 3.166E+002, 6.292E+001, 6.258E+001, 6.372E+001, 6.472E+001, 6.537E+001, 6.544E+001, 6.632E+001, 6.573E+001, 6.380E+001, 5.674E+001, 5.423E+001, 8.542E+001, 7.684E+001, 6.786E+001, 5.670E+001, 8.866E+001, 8.983E+001, 6.773E+001, 5.275E+001, 6.309E+001, 8.261E+001, 1.004E+002, 7.580E+001, 6.142E+001, 5.726E+001, 5.972E+001, 6.895E+001, 7.115E+001, 6.956E+001, 8.372E+001, 9.846E+001, 7.325E+001, 9.945E+001, 1.191E+002, 6.769E+001, 9.387E+001, 1.028E+002, 8.973E+001, 9.270E+001, 6.888E+001, 5.370E+001, 6.015E+001, 7.198E+001, 8.351E+001, 8.615E+001, 7.680E+001, 6.575E+001, 5.672E+001, 5.201E+001, 5.555E+001, 6.816E+001, 6.785E+001, 6.783E+001, 5.422E+001, 5.142E+001, 2.068E-001, 4.252E-004, 1.257E-007, 1.943E-001, 5.218E-003, 1.517E-005, 4.000E+000
 1.700E+002, 4.965E+001, 3.982E+001, 2.505E+001, 2.225E+001, 2.033E+001, 2.012E+001, 2.007E+001, 2.003E+001, 2.003E+001, 1.960E+001, 3.973E+001, 4.858E+001, 4.176E+001, 2.535E+001, 2.112E+001, 2.038E+001, 1.958E+001, 1.936E+001, 1.929E+001, 1.929E+001, 1.956E+001, 4.001E+001, 5.098E+001, 3.877E+001, 2.544E+001, 2.173E+001, 1.977E+001, 1.974E+001, 1.975E+001, 1.974E+001, 1.926E+001, 3.472E+001, 2.012E+002, 1.987E+002, 1.915E+002, 1.979E+002, 2.138E+002, 2.422E+002, 2.752E+002, 2.953E+002, 3.451E+002, 4.099E+002, 6.197E+001, 6.182E+001, 6.240E+001, 6.317E+001, 6.422E+001, 6.466E+001, 6.648E+001, 7.146E+001, 6.346E+001, 5.725E+001, 5.465E+001, 9.016E+001, 7.058E+001, 6.270E+001, 5.415E+001, 9.159E+001, 8.333E+001, 6.881E+001, 5.829E+001, 6.648E+001, 8.111E+001, 9.425E+001, 7.326E+001, 6.388E+001, 5.892E+001, 6.364E+001, 7.144E+001, 6.839E+001, 6.805E+001, 8.867E+001, 9.462E+001, 6.368E+001, 9.927E+001, 1.189E+002, 6.280E+001, 8.446E+001, 1.013E+002, 1.005E+002, 9.037E+001, 6.805E+001, 5.084E+001, 5.714E+001, 7.253E+001, 8.412E+001, 9.252E+001, 8.275E+001, 6.323E+001, 4.745E+001, 5.258E+001, 5.922E+001, 6.480E+001, 7.263E+001, 6.379E+001, 5.848E+001, 5.051E+001, 2.075E-001, 3.971E-004, 3.371E-008, 1.960E-001, 4.568E-003, 1.313E-005, 4.000E+000
 1.800E+002, 4.172E+001, 3.394E+001, 2.321E+001, 2.130E+001, 2.029E+001, 2.020E+001, 2.013E+001, 2.010E+001, 1.997E+001, 1.983E+001, 3.945E+001, 4.824E+001, 4.071E+001, 2.607E+001, 2.091E+001, 1.996E+001, 1.932E+001, 1.925E+001, 1.922E+001, 1.923E+001, 1.979E+001, 3.873E+001, 4.257E+001, 3.044E+001, 2.232E+001, 2.111E+001, 2.011E+001, 1.978E+001, 1.980E+001, 1.972E+001, 1.926E+001, 3.655E+001, 1.859E+002, 1.748E+002, 1.658E+002, 1.617E+002, 1.645E+002, 1.760E+002, 1.899E+002, 1.980E+002, 2.211E+002, 2.510E+002, 5.666E+001, 5.711E+001, 5.900E+001, 5.943E+001, 6.167E+001, 6.306E+001, 6.597E+001, 7.123E+001, 5.871E+001, 5.278E+001, 5.136E+001, 9.241E+001, 6.875E+001, 5.839E+001, 5.597E+001, 8.660E+001, 7.971E+001, 6.770E+001, 5.667E+001, 6.606E+001, 8.485E+001, 9.117E+001, 7.128E+001, 6.294E+001, 5.357E+001, 6.648E+001, 7.630E+001, 7.412E+001, 6.810E+001, 8.460E+001, 9.898E+001, 6.270E+001, 9.105E+001, 1.143E+002, 4.987E+001, 8.714E+001, 9.324E+001, 9.960E+001, 8.941E+001, 6.729E+001, 4.659E+001, 5.684E+001, 7.403E+001, 8.038E+001, 8.367E+001, 8.515E+001, 7.112E+001, 5.256E+001, 5.446E+001, 5.994E+001, 6.046E+001, 6.601E+001, 6.714E+001, 6.298E+001, 5.914E+001, 2.078E-001, 3.869E-004, 7.753E-011, 1.984E-001, 3.571E-003, 9.997E-006, 4.000E+000
 1.900E+002, 3.556E+001, 2.786E+001, 2.208E+001, 2.111E+001, 2.026E+001, 2.007E+001, 2.003E+001, 2.003E+001, 2.007E+001, 2.006E+001, 3.913E+001, 4.501E+001, 3.793E+001, 2.633E+001, 2.152E+001, 1.972E+001, 1.929E+001, 1.925E+001, 1.919E+001, 1.920E+001, 2.001E+001, 3.817E+001, 4.095E+001, 3.012E+001, 2.161E+001, 2.050E+001, 1.990E+001, 1.982E+001, 1.995E+001, 1.971E+001, 1.936E+001, 3.827E+001, 1.729E+002, 1.563E+002, 1.421E+002, 1.329E+002, 1.289E+002, 1.341E+002, 1.448E+002, 1.502E+002, 1.698E+002, 1.887E+002, 5.445E+001, 5.387E+001, 5.569E+001, 5.614E+001, 5.797E+001, 5.949E+001, 6.245E+001, 6.968E+001, 5.596E+001, 4.921E+001, 4.879E+001, 9.341E+001, 6.981E+001, 5.594E+001, 4.876E+001, 8.841E+001, 7.649E+001, 5.794E+001, 5.267E+001, 6.505E+001, 8.219E+001, 8.990E+001, 6.375E+001, 5.521E+001, 5.068E+001, 6.111E+001, 7.038E+001, 7.682E+001, 6.545E+001, 7.648E+001, 9.390E+001, 6.425E+001, 9.152E+001, 1.187E+002, 5.776E+001, 9.173E+001, 9.385E+001, 8.382E+001, 7.664E+001, 6.460E+001, 4.623E+001, 5.484E+001, 7.694E+001, 7.868E+001, 8.420E+001, 7.567E+001, 6.160E+001, 5.417E+001, 5.804E+001, 6.148E+001, 6.764E+001, 7.049E+001, 6.293E+001, 5.805E+001, 4.912E+001, 2.078E-001, 3.868E-004, 7.193E-016, 1.987E-001, 3.551E-003, 9.934E-006, 4.000E+000
 2.000E+002, 3.810E+001, 2.725E+001, 2.136E+001, 2.064E+001, 2.035E+001, 2.018E+001, 2.016E+001, 2.030E+001, 2.034E+001, 2.029E+001, 3.916E+001, 4.575E+001, 3.649E+001, 2.377E+001, 2.083E+001, 1.948E+001, 1.925E+001, 1.923E+001, 1.919E+001, 1.919E+001, 2.024E+001, 3.910E+001, 4.545E+001, 3.403E+001, 2.217E+001, 2.036E+001, 1.976E+001, 1.986E+001, 1.984E+001, 1.935E+001, 1.907E+001, 3.987E+001, 1.652E+002, 1.526E+002, 1.408E+002, 1.296E+002, 1.309E+002, 1.390E+002, 1.529E+002, 1.619E+002, 1.894E+002, 2.232E+002, 5.942E+001, 5.850E+001, 5.942E+001, 6.060E+001, 6.238E+001, 6.308E+001, 6.511E+001, 7.391E+001, 6.193E+001, 5.232E+001, 5.048E+001, 8.864E+001, 7.608E+001, 6.039E+001, 5.463E+001, 8.977E+001, 8.584E+001, 6.685E+001, 5.509E+001, 6.392E+001, 8.358E+001, 9.891E+001, 7.348E+001, 6.049E+001, 5.366E+001, 5.561E+001, 6.422E+001, 6.714E+001, 6.183E+001, 7.155E+001, 8.302E+001, 7.015E+001, 9.399E+001, 1.161E+002, 7.298E+001, 9.681E+001, 1.030E+002, 7.637E+001, 7.803E+001, 6.400E+001, 5.127E+001, 6.784E+001, 8.092E+001, 8.617E+001, 7.736E+001, 6.528E+001, 5.833E+001, 5.013E+001, 6.325E+001, 6.716E+001, 6.944E+001, 6.339E+001, 5.598E+001, 5.126E+001, 4.615E+001, 2.078E-001, 3.868E-004, 1.397E-014, 1.978E-001, 3.890E-003, 1.100E-005, 4.000E+000
 2.100E+002, 4.395E+001, 3.434E+001, 2.318E+001, 2.048E+001, 2.020E+001, 2.010E+001, 2.009E+001, 2.003E+001, 2.001E+001, 2.051E+001, 4.024E+001, 4.713E+001, 3.514E+001, 2.299E+001, 1.982E+001, 1.930E+001, 1.916E+001, 1.915E+001, 1.912E+001, 1.917E+001, 2.046E+001, 3.879E+001, 4.444E+001, 3.540E+001, 2.315E+001, 1.991E+001, 1.968E+001, 1.978E+001, 1.964E+001, 1.911E+001, 1.896E+001, 4.136E+001, 1.758E+002, 1.755E+002, 1.664E+002, 1.619E+002, 1.642E+002, 1.724E+002, 1.868E+002, 1.953E+002, 2.125E+002, 2.374E+002, 6.101E+001, 5.986E+001, 6.120E+001, 6.214E+001, 6.436E+001, 6.541E+001, 6.768E+001, 6.174E+001, 6.039E+001, 5.524E+001, 5.467E+001, 8.766E+001, 7.877E+001, 6.415E+001, 5.520E+001, 9.244E+001, 8.738E+001, 6.650E+001, 5.617E+001, 5.842E+001, 8.331E+001, 1.067E+002, 7.462E+001, 6.117E+001, 5.704E+001, 5.876E+001, 6.324E+001, 6.743E+001, 5.852E+001, 7.545E+001, 8.655E+001, 5.670E+001, 8.760E+001, 9.605E+001, 6.965E+001, 9.310E+001, 1.032E+002, 1.083E+002, 9.363E+001, 6.517E+001, 5.289E+001, 7.021E+001, 7.660E+001, 9.141E+001, 9.530E+001, 7.763E+001, 6.416E+001, 5.207E+001, 6.051E+001, 6.704E+001, 7.374E+001, 6.820E+001, 6.627E+001, 5.697E+001, 4.913E+001, 2.078E-001, 3.868E-004, 1.986E-013, 1.964E-001, 4.356E-003, 1.246E-005, 4.000E+000
 2.200E+002, 4.471E+001, 3.135E+001, 2.116E+001, 2.041E+001, 2.019E+001, 2.011E+001, 2.006E+001, 2.005E+001, 2.010E+001, 2.073E+001, 4.123E+001, 4.840E+001, 3.628E+001, 2.235E+001, 1.977E+001, 1.943E+001, 1.928E+001, 1.926E+001, 1.923E+001, 1.931E+001, 2.067E+001, 3.991E+001, 4.384E+001, 3.330E+001, 2.167E+001, 1.992E+001, 1.979E+001, 1.966E+001, 1.965E+001, 1.909E+001, 1.906E+001, 4.271E+001, 1.789E+002, 1.823E+002, 1.775E+002, 1.783E+002, 1.882E+002, 2.073E+002, 2.319E+002, 2.479E+002, 2.835E+002, 3.280E+002, 6.157E+001, 6.209E+001, 6.438E+001, 6.587E+001, 6.802E+001, 6.843E+001, 6.924E+001, 6.271E+001, 6.026E+001, 5.734E+001, 5.243E+001, 8.711E+001, 8.285E+001, 6.392E+001, 5.462E+001, 9.868E+001, 9.005E+001, 7.087E+001, 5.606E+001, 5.994E+001, 7.831E+001, 1.121E+002, 7.751E+001, 6.199E+001, 5.629E+001, 6.072E+001, 6.875E+001, 6.588E+001, 6.347E+001, 7.747E+001, 8.646E+001, 5.520E+001, 8.274E+001, 9.593E+001, 5.897E+001, 8.575E+001, 1.053E+002, 9.739E+001, 1.002E+002, 7.138E+001, 5.622E+001, 6.261E+001, 7.817E+001, 8.971E+001, 8.508E+001, 7.683E+001, 7.161E+001, 5.824E+001, 5.826E+001, 6.562E+001, 7.110E+001, 6.579E+001, 5.884E+001, 5.874E+001, 5.611E+001, 2.078E-001, 3.868E-004, 3.986E-014, 1.947E-001, 5.269E-003, 1.532E-005, 4.000E+000
 2.300E+002, 4.922E+001, 3.444E+001, 2.205E+001, 2.045E+001, 2.034E+001, 2.015E+001, 2.006E+001, 2.009E+001, 2.016E+001, 2.095E+001, 4.268E+001, 5.144E+001, 3.859E+001, 2.318E+001, 1.970E+001, 1.947E+001, 1.934E+001, 1.933E+001, 1.932E+001, 1.939E+001, 2.088E+001, 4.160E+001, 4.848E+001, 3.662E+001, 2.191E+001, 1.986E+001, 1.973E+001, 1.920E+001, 1.917E+001, 1.910E+001, 1.916E+001, 4.394E+001, 1.910E+002, 1.997E+002, 1.982E+002, 2.037E+002, 2.193E+002, 2.420E+002, 2.691E+002, 2.863E+002, 3.252E+002, 3.701E+002, 6.744E+001, 6.612E+001, 6.723E+001, 6.841E+001, 7.012E+001, 7.130E+001, 7.400E+001, 6.139E+001, 6.429E+001, 6.032E+001, 5.669E+001, 7.988E+001, 8.619E+001, 6.995E+001, 5.777E+001, 1.032E+002, 1.035E+002, 7.213E+001, 5.553E+001, 5.680E+001, 8.158E+001, 1.203E+002, 8.814E+001, 6.076E+001, 6.145E+001, 5.589E+001, 6.448E+001, 6.641E+001, 6.341E+001, 7.280E+001, 8.537E+001, 6.414E+001, 8.273E+001, 9.437E+001, 6.298E+001, 9.931E+001, 1.146E+002, 1.001E+002, 9.645E+001, 7.284E+001, 5.948E+001, 6.924E+001, 7.887E+001, 8.950E+001, 8.502E+001, 7.954E+001, 7.078E+001, 5.892E+001, 6.462E+001, 6.446E+001, 6.916E+001, 5.870E+001, 5.600E+001, 5.294E+001, 5.185E+001, 2.078E-001, 3.868E-004, 2.813E-012, 1.938E-001, 5.646E-003, 1.650E-005, 4.000E+000
